section,group,id,text
5150,0,PreBegin,/ci3 1 ……やはり、来たか。<br>油断するな、構えろ。
5150,0,Begin,/ci3 2 駄目だ。
5150,0,Success,/ci2 1 実力不足を実感してるなら、話は早い。<br>特訓を再開するとしよう。<br>それではな、協力に感謝する。
5150,0,Failure,/ci5 3 ここまで、歯がたたないとはな……<br>悔しさは残るが、引き際も重要だ。<br>一度退いて、体勢を立て直すとしよう。
5150,0,Dead,……予想以上に損傷が大きい。<br>無念だ……
5150,0,BuddyDead,まったく、世話がやける。<br>仕方あるまい。<br>ここは二人で何とかするぞ。
5150,0,TargetDead,/ci1 1 終わったようだな。<br>手間をかけた
5150,1,PreBegin,"/ci3 1 It came...I knew it. Get ready. Nobody get<br>careless, now."
5150,1,Begin,/ci3 2 Futile.
5150,1,Success,"/ci2 1 If you feel you don't have what it takes, there's<br>an easy fix. More training. Anyway, thanks for your<br>help."
5150,1,Failure,/ci5 3 We've barely made a dent... I'd rather retreat with<br>some regrets than stay here and guarantee more.<br>Let's pull back and get ourselves together.
5150,1,Dead,...The cost was greater than I expected. Alas...
5150,1,BuddyDead,Could you pull your own weight for once? Dammit...<br>The two of us'll have to make do.
5150,1,TargetDead,/ci1 1 Looks like it's finished. Sorry for the trouble.
