section,group,id,text
Required,0,Title,分岐界域の調査
Required,0,Summary,分岐界域探索のクエスト<br>“界域調査：遺跡”に<br>参加する。<br><br><yellow>※クエストカウンターで受注可能<c>
Required,1,Title,Splinter Realm Investigation
Required,1,Summary,"Participate in the Splinter Realm Exploration quest ""Realm Investigation: Ruins"".<br><br><yellow>*Available at the Quest Counter<c>"
SubObjectives,0,text0101,指定のクエストに参加する
SubObjectives,0,text0102,指定のクエストでエネミーを倒す
SubObjectives,0,text0103,ハルファに帰還する
SubObjectives,1,text0101,Participate in the designated quest
SubObjectives,1,text0102,Defeat enemies in the designated quest
SubObjectives,1,text0103,Return to Halpha
