section,group,id,text
Required,0,Title,私の居ない未来に
Required,0,Summary,<%me>は、<br>カヌイから、<br>相談したいことがあるという連絡を受け、<br>スティアキャンプに向かう。
Required,1,Title,A Future Without Me
Required,1,Summary,"After receiving word that Kanui has something she wishes to discuss, <%me> heads to Stia Camp."
SubObjectives,0,text0101,カヌイと話す
SubObjectives,0,text0102,ルシエル探索のクリア
SubObjectives,0,Objective320,<space>
SubObjectives,0,text0103,カヌイと話す
SubObjectives,0,text0104,クロフォードと話す
SubObjectives,0,text0105,ネームレスシティ居住区画に向かう
SubObjectives,0,text0106,ネームレスシティ居住区画でエネミーを倒す
SubObjectives,0,text0107,クロフォードと話す
SubObjectives,0,text0108,グレンと話す
SubObjectives,0,text0109,ガイドマーカーの指し示す場所に向かう
SubObjectives,0,text0110,ヒバナの墓に向かう
SubObjectives,0,text0111,カヌイと話す
SubObjectives,1,text0101,Talk to Kanui
SubObjectives,1,text0102,Clear Leciel Exploration
SubObjectives,1,Objective320,<space>
SubObjectives,1,text0103,Talk to Kanui
SubObjectives,1,text0104,Talk to Crawford
SubObjectives,1,text0105,Head to the Nameless City Residential District
SubObjectives,1,text0106,Defeat enemies in the Nameless City Residential District
SubObjectives,1,text0107,Talk to Crawford
SubObjectives,1,text0108,Talk to Glen
SubObjectives,1,text0109,Head to the Task Marker location
SubObjectives,1,text0110,Head to Hibana’s grave
SubObjectives,1,text0111,Talk to Kanui
