section,group,id,text
msq_013082,0,name010,アイナ
msq_013082,0,name020,マノン
msq_013082,0,name030,メリ
msq_013082,0,msq_013082_0010,あなたたち、ケガはない？
msq_013082,0,msq_013082_0020,うん、大丈夫。<br>雪の上での戦いかた、参考になったよ。
msq_013082,0,msq_013082_0030,そうね。<br>さすがに慣れているわ
msq_013082,1,name010,Aina
msq_013082,1,name020,Manon
msq_013082,1,name030,Meri
msq_013082,1,msq_013082_0010,Are you okay?
msq_013082,1,msq_013082_0020,"Yeah, we're fine. Watching you fight in snow came in handy."
msq_013082,1,msq_013082_0030,Indeed. It's clear that you have experience with it.
