section,group,id,text
Skit,0,text01001,青い空にあつーい日差し！<br>やってきたね、真夏の季節！
Skit,0,11_voice_NPC_5099_100,一年で一番賑やかな時期だよね！<br>楽しまなきゃ損だよ！<br>だからやります、サマーイベント！
Skit,0,text01003,そんなわけだから、今回もいろいろと<br>お手伝いしてくれると嬉しいな！
Skit02,0,11_voice_NPC_5099_104,状況はどんな感じかなっ？<br>いつまででも待つからねっ！
Skit03,0,11_voice_NPC_5099_100,お手伝いしてもらってるけど<br>ちゃんと休憩もとってね！<br>無理は禁物だよ！
Skit04,0,text04001,毎日暑いけど、エネミーって<br>暑さを感じたりしないのかなっ？
Skit04,0,11_voice_NPC_5099_100,あ、貴方は<br>暑さでバテそうになったら<br>ちゃーんと休憩とってね！
Skit05,0,text05001,おつかれさま！<br>夏の暑さに負けず、たっくさん<br>手伝ってくれてありがとう！
Skit05,0,11_voice_NPC_5099_100,これでみんなが夏を楽しめる<br>イベントを開催できるよ！<br>全部、貴方のおかげだよ！
Skit05,0,text05003,感謝してもしきれないよ！<br>ほんっとーにありがとね！
Skit202007_1,0,text01,青い空にあつーい日差し！<br>やってきたね、真夏の季節！
Skit202007_1,0,11_voice_NPC_5099_100,一年で一番賑やかな時期だよね！<br>楽しまなきゃ損だよ！<br>だから、サマーリゾートを企画するよ！
Skit202007_1,0,text03,そんなわけだから、今回もいろいろと<br>お手伝いしてくれると嬉しいな！
Skit202007_1,1,text01,A hot sun in the blue sky!<br>Summer is finally here!
Skit202007_1,1,11_voice_NPC_5099_100,This is the busiest time of the year!<br>We gotta enjoy ourselves! That's why<br>I'm planning a summer resort!
Skit202007_1,1,text03,"As such, it'd be great if you could<br>help me out with a few things!"
Skit202007_2,0,text01,状況はどんな感じかなっ？<br>いつまででも待つからねっ！
Skit202007_2,1,text01,How's it going?<br>Take all the time you need!
Skit202007_3,0,11_voice_NPC_5099_100,いやー、真夏って感じだね！<br>これだけ暑いとバテちゃうよねー！
Skit202007_3,0,text02,お手伝いしてもらってるけど<br>ちゃんと休憩もとってね！<br>無理は禁物だよ！
Skit202007_3,1,11_voice_NPC_5099_100,"Ugh, we're definitely in the<br>dog days of summer now!<br>Watch out for heat stroke!"
Skit202007_3,1,text02,"I'm happy you're helping out,<br>but be sure to take breaks!<br>Don't overextend yourself!"
Skit202007_4,0,text01,今年も楽しい夏にしようね！<br>そのための準備、頑張らなきゃ！
Skit202007_4,0,11_voice_NPC_5099_100,でも戦いすぎには注意だよ！<br>時には甘いものでも食べて<br>身体を休めないとね！
Skit202007_4,1,text01,Let's enjoy summer!<br>That's why we gotta work hard<br>to make our preparations!
Skit202007_4,1,11_voice_NPC_5099_100,"Just, don't fight too much!<br>Take a break sometimes,<br>and eat something sweet!"
Skit202007_5,0,text01,おつかれさまー！<br>貴方のおかげで、今年も無事に<br>サマーリゾートができるよ！
Skit202007_5,0,11_voice_NPC_5099_101,みんなで楽しんで、夏を満喫する！<br>やっぱりこうでなくっちゃ！
Skit202007_5,0,text03,ほんとにほんとに、ありがとうっ！
Skit202007_5,1,text01,"Thanks to your hard work,<br>I was able to make our summer<br>resort this year!"
Skit202007_5,1,11_voice_NPC_5099_101,It's not summer unless you're<br>kicking back and enjoying<br>together with everyone!
Skit202007_5,1,text03,I'm really grateful to you!
