section,group,id,text
BubbleMessage,0,Q0,こんにちは！
BubbleMessage,0,HELLO,こんにちは！
BubbleMessage,0,HELLO_FAV4,待ってたよー！
BubbleMessage,0,HELLO_FAV3,どもどもー！
BubbleMessage,0,HELLO_FAV2,こんにちは！
BubbleMessage,0,HELLO_FAV1,何か用？
BubbleMessage,0,HELLO_FAV0,うっ……ども
BubbleMessage,0,GOODBYE,んじゃー！
BubbleMessage,0,GOODBYE_FAV4,また来てねー！
BubbleMessage,0,GOODBYE_FAV3,まったねー！
BubbleMessage,0,GOODBYE_FAV2,んじゃー！
BubbleMessage,0,GOODBYE_FAV1,それじゃ
BubbleMessage,0,GOODBYE_FAV0,じゃ
BubbleMessage,1,Q0,Hello!
BubbleMessage,1,HELLO,Hello!
BubbleMessage,1,HELLO_FAV4,I was hoping you'd come!
BubbleMessage,1,HELLO_FAV3,Good to see you!
BubbleMessage,1,HELLO_FAV2,Hello!
BubbleMessage,1,HELLO_FAV1,What's up?
BubbleMessage,1,HELLO_FAV0,"Ugh, it's you..."
BubbleMessage,1,GOODBYE,Later!
BubbleMessage,1,GOODBYE_FAV4,Come visit again!
BubbleMessage,1,GOODBYE_FAV3,Toodle-oo!
BubbleMessage,1,GOODBYE_FAV2,Later!
BubbleMessage,1,GOODBYE_FAV1,See you.
BubbleMessage,1,GOODBYE_FAV0,Bye.
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Option 1
Choices,1,00_02,Option 2
Choices,1,TALK_ST,Talk
Choices,1,C_ORDER_ST,Listen
