section,group,id,text
Name,0,NAME,ピッカ
Name,0,NICKNAME,簡易クエストカウンター店員
Name,1,NAME,Pica
Name,1,NICKNAME,Handy Quest Counter Clerk
BubbleMessage,0,HELLO,こんにちは！
BubbleMessage,0,HELLO_FAV0,こんにちは！
BubbleMessage,0,HELLO_FAV1,こんにちは！
BubbleMessage,0,HELLO_FAV2,こんにちは！
BubbleMessage,0,HELLO_FAV3,こんにちは！
BubbleMessage,0,HELLO_FAV4,こんにちは！
BubbleMessage,0,Q0,こんにちは！
BubbleMessage,0,TALK_BYE_QUEST,お願いしますね！
BubbleMessage,0,GOODBYE,またどうぞ！
BubbleMessage,0,GOODBYE_FAV0,またどうぞ！
BubbleMessage,0,GOODBYE_FAV1,またどうぞ！
BubbleMessage,0,GOODBYE_FAV2,またどうぞ！
BubbleMessage,0,GOODBYE_FAV3,またどうぞ！
BubbleMessage,0,GOODBYE_FAV4,またどうぞ！
BubbleMessage,0,RECOMMEND,クエストに関連する<br>クライアントオーダーを<br>まとめて受注頂けます
BubbleMessage,1,HELLO,Hello!
BubbleMessage,1,HELLO_FAV0,Hello!
BubbleMessage,1,HELLO_FAV1,Hello!
BubbleMessage,1,HELLO_FAV2,Hello!
BubbleMessage,1,HELLO_FAV3,Hello!
BubbleMessage,1,HELLO_FAV4,Hello!
BubbleMessage,1,Q0,Hello!
BubbleMessage,1,TALK_BYE_QUEST,I'm counting on you!
BubbleMessage,1,GOODBYE,See you again soon!
BubbleMessage,1,GOODBYE_FAV0,See you again soon!
BubbleMessage,1,GOODBYE_FAV1,See you again soon!
BubbleMessage,1,GOODBYE_FAV2,See you again soon!
BubbleMessage,1,GOODBYE_FAV3,See you again soon!
BubbleMessage,1,GOODBYE_FAV4,See you again soon!
BubbleMessage,1,RECOMMEND,You can take on multiple quest-related<br>Client Orders at once.
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Option 1
Choices,1,00_02,Option 2
Choices,1,TALK_ST,Talk
Choices,1,C_ORDER_ST,Listen
