section,group,id,text
BubbleMessage,0,HELLO,こちらでは<br>アイテムの強化を行うことができます
BubbleMessage,0,HELLO_FAV4,こちらでは<br>アイテムの強化を行うことができます
BubbleMessage,0,HELLO_FAV3,こちらでは<br>アイテムの強化を行うことができます
BubbleMessage,0,HELLO_FAV2,こちらでは<br>アイテムの強化を行うことができます
BubbleMessage,0,HELLO_FAV1,こちらでは<br>アイテムの強化を行うことができます
BubbleMessage,0,HELLO_FAV0,こちらでは<br>アイテムの強化を行うことができます
BubbleMessage,0,Q0,こちらでは<br>アイテムの強化を行うことができます
BubbleMessage,0,GOODBYE,ま、また来てくれます？　よね？
BubbleMessage,0,GOODBYE_FAV4,ま、また来てくれます？　よね？
BubbleMessage,0,GOODBYE_FAV3,ま、また来てくれます？　よね？
BubbleMessage,0,GOODBYE_FAV2,ま、また来てくれます？　よね？
BubbleMessage,0,GOODBYE_FAV1,ま、また来てくれます？　よね？
BubbleMessage,0,GOODBYE_FAV0,ま、また来てくれます？　よね？
BubbleMessage,1,HELLO,We cater to all your item enhancement<br>needs here.
BubbleMessage,1,HELLO_FAV4,We cater to all your item enhancement<br>needs here.
BubbleMessage,1,HELLO_FAV3,We cater to all your item enhancement<br>needs here.
BubbleMessage,1,HELLO_FAV2,We cater to all your item enhancement<br>needs here.
BubbleMessage,1,HELLO_FAV1,We cater to all your item enhancement<br>needs here.
BubbleMessage,1,HELLO_FAV0,We cater to all your item enhancement<br>needs here.
BubbleMessage,1,Q0,We cater to all your item enhancement<br>needs here.
BubbleMessage,1,GOODBYE,"Don't be a stranger, okay?"
BubbleMessage,1,GOODBYE_FAV4,"Don't be a stranger, okay?"
BubbleMessage,1,GOODBYE_FAV3,"Don't be a stranger, okay?"
BubbleMessage,1,GOODBYE_FAV2,"Don't be a stranger, okay?"
BubbleMessage,1,GOODBYE_FAV1,"Don't be a stranger, okay?"
BubbleMessage,1,GOODBYE_FAV0,"Don't be a stranger, okay?"
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Option 1
Choices,1,00_02,Option 2
Choices,1,TALK_ST,Talk
Choices,1,C_ORDER_ST,Listen
