section,group,id,text
male,0,Name,ウォパル原生住民
male,0,Start,あー！　なんやねんな！
male,0,Chat,あかん！　あかんて！
male,0,Success,はぁー助かったわー！　おおきに！
male,0,Failure,ほな、さいなら……
male,0,Pinch1,だれか助けてぇな！
male,0,Pinch2,ちょ、ちょっ、ちょっまってぇ！
male,0,Pinch3,もうムリ、もうムリ！
male,1,Name,Wopal Native
male,1,Start,Ah! Wot dis!?
male,1,Chat,No! Dis bad!
male,1,Success,Whew... We're saved! Thanks a lot!
male,1,Failure,"Shoots, den."
male,1,Pinch1,Try help me!
male,1,Pinch2,Wait... Wait a minute!
male,1,Pinch3,I no can go on...
female,0,Name,ウォパル原生住民
female,0,Start,あー！　なんやねんな！
female,0,Chat,あかん！　あかんて！
female,0,Success,助かったわー！　おおきに！
female,0,Failure,ほな、さいなら……
female,0,Pinch1,だれか助けてぇな！
female,0,Pinch2,ちょ、ちょっ、待ちぃて！
female,0,Pinch3,もうムリ、もうムリ！
female,1,Name,Wopal Native
female,1,Start,Ah! Wot dis!?
female,1,Chat,No! Dis bad!
female,1,Success,We wen save! Tanks!
female,1,Failure,"Shoots, den."
female,1,Pinch1,Try help me!
female,1,Pinch2,T-Try wait!
female,1,Pinch3,I no can go on...
