section,group,id,text
Event1,0,text01,<%me>さん<br>前回の石ですが……残念ながら。
Event1,0,text02,浮遊大陸に興味があっただけなのを<br>私が勘違いしていたみたいで……<br>すみませんっ！
Event1,0,11_voice_NPC_5017_104,続けての依頼で心苦しいんですが<br>浮遊大陸にいるという龍族に<br>マトイさんが興味があるみたいで。
Event1,0,text04,何か、関係のあるものを渡して<br>あげられないものでしょうか？
Event1,0,text05,お手すきなときで構いません。<br>マトイさんのためと思って<br>よろしく
Event1,1,text01,"<%me>, <br>about those stones...<br>Well, I'm sure you can guess..."
Event1,1,text02,I must have read too much into her interest in<br>the Floating Continent. I'm so sorry to have<br>wasted your time.
Event1,1,11_voice_NPC_5017_104,"And I hate to impose another request on you,<br>but... Matoi seems curious about the Draconians<br>who live on the Floating Continent."
Event1,1,text04,Is it possible you could bring her something<br>related to them?
Event1,1,text05,"When you've got a free moment, that is.<br>Maybe this will do Matoi some good."
