section,group,id,text
Event1,0,name01,キリト
Event1,0,name02,アスナ
Event1,0,name03,マトイ
Event1,0,text01,……勝負の結果は！？<br>最後は、俺たちが倒したんじゃないか？
Event1,0,text02,同時だったからわからないけど<br>もし、そうだとしても<br>２匹足りない……私たちの負けだよ。
Event1,0,text03,そうか……ははっ！<br>やっぱすげぇなぁ……二人とも。<br>でも、いつか追い付いてやるぜ。
Event1,0,text04,ほんと、信じられない強さだったよ。<br>お疲れさま、み
Event1,1,name01,Kirito
Event1,1,name02,Asuna
Event1,1,name03,Matoi
Event1,1,text01,"...And the results?!<br>We got that last one, right?"
Event1,1,text02,"Both sides might have got it at the same time,<br>but even still, we're two short...<br>They won."
Event1,1,text03,"Really? Haha!<br>You two really are something else.<br>But, we'll catch up to you yet. You'll see."
Event1,1,text04,"You two really are unbelievable.<br>Anyway, we all did great out there!"
