section,group,id,text
Required,0,Title,ルシエル突入
Required,0,Summary,ルシエル
Required,1,Title,Incumpliendo a Leciel
Required,1,Summary,leciel
SubObjectives,0,Objective311,ルシエルの内部を進む
SubObjectives,0,Objective321,エネミーを倒す
SubObjectives,0,Objective331,ルシエルの内部を進む
SubObjectives,0,Objective341,エネミーを倒す
SubObjectives,0,Objective351,ルシエルの内部を進む
SubObjectives,0,Objective361,エネミーを倒す
SubObjectives,0,Objective371,ルシエルの内部を進む
SubObjectives,0,Objective381,エネミーを倒す
SubObjectives,0,Objective391,ルシエルの内部を進む
SubObjectives,0,Objective401,エネミーを倒す
SubObjectives,0,Objective411,ルシエルの内部を進む
SubObjectives,0,Objective412,アイナと話す
SubObjectives,1,Objective311,Ir al Interior de Leciel
SubObjectives,1,Objective321,Derrota a los enemigos
SubObjectives,1,Objective331,Ir al Interior de Leciel
SubObjectives,1,Objective341,Derrota a los enemigos
SubObjectives,1,Objective351,Ir al Interior de Leciel
SubObjectives,1,Objective361,Derrota a los enemigos
SubObjectives,1,Objective371,Ir al Interior de Leciel
SubObjectives,1,Objective381,Derrota a los enemigos
SubObjectives,1,Objective391,Ir al Interior de Leciel
SubObjectives,1,Objective401,Derrota a los enemigos
SubObjectives,1,Objective411,Ir al Interior de Leciel
SubObjectives,1,Objective412,Habla con Aina
