section,group,id,text
ra_043020,0,ra_043020_0001,A.P.241/4/2
ra_043020,0,ra_043020_0010,扱い方など、細かな違いはありますが<br>エーテルとフォトンは、ほぼ同じものを<br>指しているようですね。
ra_043020,0,ra_043020_0020,ヒツギさんや、先日の敵勢力が<br>アークスシップ出現を認識できた理由も、それです。
ra_043020,0,ra_043020_0030,ただ、次元が違うからなのか、エーテルは<br>フォトンほどのエネルギーは生み出せないようです。<br>その代わり、情報構成能力に優れているかと。
ra_043020,0,ra_043020_0040,何かを象ったり、伝達したりするのに<br>優れた粒子ってことですね。
ra_043020,0,ra_043020_0050,とはいえ、粒子としての性質はほぼ同じ。<br>原理が同じならいろいろできます。
ra_043020,0,ra_043020_0060,たとえば、断片情報の映像化、とか。
ra_043020,0,ra_043020_0070,……でも、同じようにして<br>こっちのを傍受されちゃうかもしれません。
ra_043020,0,ra_043020_0080,こっちがフォトンを使いこなしているのと同様に<br>あちらはエーテルを使いこなしてるはずですから<br>そういうのの対策は急がないと、で
ra_043020,1,ra_043020_0001,A.P.241/4/2
ra_043020,1,ra_043020_0010,"Though there are differences in the way we use them and<br>their composition, aether and photons refer to essentially<br>the same thing."
ra_043020,1,ra_043020_0020,"That is why we weren't able to detect Hitsugi,<br>or the sudden appearance of the enemy<br>forces on the ARKS Ship."
ra_043020,1,ra_043020_0030,"Aether cannot produce as much energy as photons, perhaps<br>due to dimensional discrepancies. However, it excels at<br>constructing information."
ra_043020,1,ra_043020_0040,"In essence, they are particles adept at<br>creating shapes or relaying communications."
ra_043020,1,ra_043020_0050,"That said, as particles go, they are<br>fundamentally identical. If the same principles<br>apply, that opens up all sorts of possibilities."
ra_043020,1,ra_043020_0060,Sort of like... a puzzle coming together.
ra_043020,1,ra_043020_0070,"However, that also means they could monitor us<br>in the same way."
ra_043020,1,ra_043020_0080,"The other side must be able to use aether the<br>way we use photons, so we need come up with<br>a countermeasure as soon as we can."
