section,group,id,text
choice,0,CHOICE_INNOCENT,無垢
choice,0,CHOICE_FRESH,爽やか
choice,0,CHOICE_FAINTHEART,気弱
choice,0,CHOICE_COOL,クール
choice,0,CHOICE_NAUGHTY,わんぱく
choice,0,CHOICE_QUIET,おっとり
choice,0,CHOICE_NOISY,無邪気
choice,0,CHOICE_SHARP,不器用
choice,0,CHOICE_BOYISH,ボーイッシュ
choice,0,CHOICE_NONE,今のままでいい
choice,1,CHOICE_INNOCENT,Pure
choice,1,CHOICE_FRESH,Pleasant
choice,1,CHOICE_FAINTHEART,Timid
choice,1,CHOICE_COOL,Cool-headed
choice,1,CHOICE_NAUGHTY,Mischievous
choice,1,CHOICE_QUIET,Gentle
choice,1,CHOICE_NOISY,Upbeat
choice,1,CHOICE_SHARP,Stern
choice,1,CHOICE_BOYISH,Boyish
choice,1,CHOICE_NONE,Just the way you are
innocent,0,CHANGE_START,質問があります。<br>マスターは私の個性を<br>どのように思っているのでしょうか。
innocent,0,CHANGE_PERSONAL,今の私は、個性に乏しいのでは<br>ないかと思えてきたのです。
innocent,0,CHANGE_ASK,ゆえにマスター、質問します。<br>私にどのように、なってほしいですか？
innocent,0,CHANGE_OK,了解しました。<br>マスターの望み通りに……
innocent,0,CHANGE_HOLD,了解しました。<br>では、このままで……
innocent,1,CHANGE_START,"I have a question. Handler, what do you think<br>about my personality?"
innocent,1,CHANGE_PERSONAL,"I'm beginning to wonder if, perhaps, I lack<br>character."
innocent,1,CHANGE_ASK,"Therefore, I must ask you, Handler--in which<br>manner of personality would you prefer me?"
innocent,1,CHANGE_OK,"Understood. As you wish, Handler."
innocent,1,CHANGE_HOLD,"Understood. I will stay as I am, then."
fresh,0,CHANGE_START,そういえばたまに気になるんだけど……<br>君は僕の個性ってやつを<br>気に入ってくれてるのかな。
fresh,0,CHANGE_PERSONAL,君が望むとおり、できる限り<br>爽やかに振る舞っている<br>つもりなんだけど……
fresh,0,CHANGE_ASK,満足してくれてるかな？<br>それとも、別の個性を<br>望んでいるのかな？
fresh,0,CHANGE_OK,ふーん……<br>それが君の望みなんだね。
fresh,0,CHANGE_HOLD,じゃ、これからはもう少し<br>爽やかに振る舞ってみるよ！
fresh,1,CHANGE_START,"You know, I sometimes have to wonder... <br>Do you like my personality?"
fresh,1,CHANGE_PERSONAL,"I've been doing my best to act pleasantly,<br>just like you wanted."
fresh,1,CHANGE_ASK,Are you satisfied? Or would you prefer I had a<br>different personality?
