section,group,id,text
ssn_011151,0,name_7663,シャルキ
ssn_011151,0,ssn_011151_0001,……わかった。説明しよう。
ssn_011151,0,ssn_011151_0101,……と言いたいところだが、<br>クラスがガンナーではないようだな。
ssn_011151,0,ssn_011151_0102,……戦い方を学びたければ、“クラスカウンター”で<br>クラスをガンナーに変更してくるんだ。
ssn_011151,0,ssn_011151_0103,……ガンナーの“クラススキル”も<br>覚えておくようにな。
ssn_011151,0,ssn_011151_0104,……だが、ガンナーについて、<br>説明だけはしておこう。
ssn_011151,0,ssn_011151_0201,……ガンナーは近距離からの射撃に長けたクラス。<br>空中での機動力が高いのも特徴だ。
ssn_011151,0,ssn_011151_0202,……注目すべきクラススキルは、“チェイントリガー”だ。<br>使いこなせるようになってくれ。
ssn_011151,0,ssn_011151_0203,……まずは、実戦で試すといい。訓練の課題を出そう。
ssn_011151,1,name_7663,Sharkey
ssn_011151,1,ssn_011151_0001,Understood. Then I'll explain.
ssn_011151,1,ssn_011151_0101,"...Or, I would, but your class isn't currently set to Gunner."
ssn_011151,1,ssn_011151_0102,"If you seriously want to learn about them, you should visit the Class Counter and<br>change your class to Gunner."
ssn_011151,1,ssn_011151_0103,"And of course, learn some Gunner Class Skills while you're at it."
ssn_011151,1,ssn_011151_0104,"Nevertheless, I can at least explain to you a little about Gunners."
ssn_011151,1,ssn_011151_0201,Gunners specialize in attacking with ranged weapons at close range.<br>They also possess excellent mobility in the air.
ssn_011151,1,ssn_011151_0202,Their most notable Class Skill is Chain Trigger.<br>Mastering it should be your first priority.
ssn_011151,1,ssn_011151_0203,Let's start there with some proper practice. I've prepared a training exercise for you.
