section,group,id,text
Event1,0,name01,シエラ
Event1,0,text01,攻撃した時に炎が出ましたね。<br>これは炎属性になっている証です。
Event1,0,text02,次は<red>バータをチャージ<c>してから<br>通常攻撃をしてみてください。
Event1,1,name01,Xiera
Event1,1,text01,Did you see that fire when you attacked?<br>That proves that your Jet Boots are now <br>attuned to Fire.
Event1,1,text02,"Next, try <red>charging Barta<c> and<br>performing a Normal Attack."
Tut_win,0,tut_title,属性の上書きについて
Tut_win,0,text100,・サブパレットにセットされている<br>　バータをチャージしてギアをためる<br>・エネミーに通常攻撃を
Tut_win,1,tut_title,Changing Elements
Tut_win,1,text100,"-Charge Barta, which is set to your <br>Sub-Palette, and build up Focus<br>-Perform a Normal Attack on an enemy"
