section,group,id,text
Event1,0,name01,シエラ
Event1,0,text01,ペットは、通常攻撃を行うと<br>貴方に代わって、<red>ターゲットにした<br>エネミーを攻撃<c>しにいってくれます。
Event1,0,text02,特別な命令をしない限り<br>ペットは、攻撃したエネミーを<br>ずっと狙い続けてくれますよ。
Event1,0,text03,それでは、早速<red>ペットに命令<c>して<br>エネミーを攻撃させてみましょう！
Event1,0,text101,課題２：<yellow>ペットのオートアタックでエネミーを攻撃する
Event1,1,name01,Xiera
Event1,1,text01,"When performing a Normal Attack, your pet<br>will go to <red>attack the targeted enemy<c><br>in your stead."
Event1,1,text02,"If you don't give it any other special orders,<br>your pet will continue to attack the enemy."
Event1,1,text03,Now go ahead and <red>order your pet<c> to<br>begin the assault!
Event1,1,text101,Training 2: <yellow>Attack the enemy with your pet's auto attack
Tut_win,0,train_title,課題２：<yellow>ペットのオートアタックでエネミーを攻撃する
Tut_win,0,tut_title,オートアタックについて
Tut_win,0,text100,・エネミーをターゲットする<br>・<%NormalAttack>でペットに攻撃を命令す
Tut_win,1,train_title,Training 2: <yellow>Attack the enemy with your pet's auto attack
Tut_win,1,tut_title,Auto Attacks
Tut_win,1,text100,-Target an enemy<br>-Order your pet to attack<br>with <%NormalAttack>
