section,group,id,text
common,0,Begin,/ci1 1 あら、いいところに。<br>少し手伝ってもらえないかしら。
common,0,Success,/ci2 1 ……ありがとう。助かったわ。<br>これからもよろしく。
common,0,Failure,/ci4 3 これ以上は危険よ！<br>ごめんなさい、先に撤退するわね。
common,0,Dead,/ci5 3 うぅ……こんなはずでは……。
common,0,Begin_v2,/ci1 1 あら、いいところに。<br>少し手伝ってもらえないかしら。
common,0,Success_v2,/ci2 1 ……ありがとう。助かったわ。<br>これからもよろしく。
common,0,Failure_v2,/ci4 3 これ以上は危険よ！<br>ごめんなさい、先に撤退するわね。
common,0,Dead_v2,/ci5 3 うぅ……こんなはずでは……。
common,0,Begin_7002001,/ci1 2 なんで、こんなにエネミーが……。
common,0,Success_7002001,/ci2 1 ふう……、なんとかなったわね。
common,0,Failure_7002001,/ci4 3 くっ……少し攻撃を受けすぎたわ……。<br>ここは、後退せてもらうわね。
common,0,Dead_7002001,/ci4 3 ……こ、こんなところで……。
common,0,BuddyDead_7002001,/ci4 3 ……こ、こんなところで……。
common,0,Begin_7002001_v3,/ci1 2 なんで、こんなにエネミーが……。
common,0,Success_7002001_v3,/ci2 1 ふう……、なんとかなったわね。
common,0,Failure_7002001_v3,/ci4 3 くっ……少し攻撃を受けすぎたわ……。<br>ここは、後退せてもらうわね。
common,0,Dead_7002001_v3,/ci4 3 ……こ、こんなところで……。
common,0,BuddyDead_7002001_v3,/ci4 3 ……こ、こんなところで……。
trial_boss_ahl,0,Begin,おっ！　グッドタイミング！<br>一緒に戦おうぜ！
trial_boss_ahl,0,Success,なんだよ、こんなもんか。<br>まあ、あんたと楽しめたし、よしとするか。
trial_boss_ahl,0,Failure,なんだよ、これからってときに！<br>……こっちも仕切りなおすか。
trial_boss_ahl,0,Dead,/ci5 3 うぅ……こんなはずでは……。
trial_boss_ahl,0,Begin_v2,/ci1 1 あら、いいところに。<br>少し手伝ってもらえないかしら。
trial_boss_ahl,0,Success_v2,/ci2 1 ……ありがとう。助かったわ。<br>これからもよろしく。
trial_boss_ahl,0,Failure_v2,/ci4 3 これ以上は危険よ！<br>ごめんなさい、先に撤退するわね。
trial_boss_ahl,0,Dead_v2,/ci5 3 うぅ……こんなはずでは……。
trial_boss_ahl,0,Begin_7903001,おっ！　いいところに。<br>ちょっくら手伝ってもらうぜ！
trial_boss_ahl,0,Success_7903001,まあ、こんなもんだろ。<br>あんたも、いい動きしてたぜ。
trial_boss_ahl,0,Failure_7903001,……しゃーない、仕切りなおすか。
trial_boss_ahl,0,Dead_7903001,/ci4 3 ……こ、こんなところで……。
trial_boss_ahl,0,BuddyDead_7903001,/ci4 3 ……こ、こんなところで……。
trial_boss_ahl,0,Begin_7002001_v3,/ci1 2 なんで、こんなにエネミーが……。
trial_boss_ahl,0,Success_7002001_v3,/ci2 1 ふう……、なんとかなったわね。
trial_boss_ahl,0,Failure_7002001_v3,/ci4 3 くっ……少し攻撃を受けすぎたわ……。<br>ここは、後退せてもらうわね。
trial_boss_ahl,0,Dead_7002001_v3,/ci4 3 ……こ、こんなところで……。
trial_boss_ahl,0,BuddyDead_7002001_v3,/ci4 3 ……こ、こんなところで……。
trial_boss_ahl,1,Begin,"¡Oye, buen momento!<br>¡Hagamos esto juntos!"
trial_boss_ahl,1,Success,"¿Cómo se llegó a esto?<br>Ah, bueno, al menos pudimos reventar algunas cabezas."
trial_boss_ahl,1,Failure,"¡Oye, recién estaba calentando!<br>Supongo que lo guardaré para la próxima pelea."
trial_boss_ahl,1,Begin_v2,"/ci1 1 Oh, momento perfecto.<br>¿Podrías darme una mano?"
trial_boss_ahl,1,Success_v2,/ci2 1 Gracias. Eso fue de gran ayuda.<br>Espero volver a trabajar con usted.
trial_boss_ahl,1,Failure_v2,"/ci4 3 ¡Esto se está poniendo peligroso!<br>Lo siento, pero tendré que retroceder."
trial_boss_ahl,1,Begin_7903001,"¡Oye, justo a quién esperaba ver!<br>¡Me vendría bien tu ayuda con algo!"
trial_boss_ahl,1,Success_7903001,"Je, ya están listos y desempolvados.<br>Hiciste un gran trabajo."
trial_boss_ahl,1,Failure_7903001,"Bueno, mantengamos esta energía para el próximo <br>."
trial_boss_ahl,1,Begin_7002001_v3,/ci1 2 ¿Por qué hay tantos enemigos?
trial_boss_ahl,1,Success_7002001_v3,/ci2 1 Uf... Lo logramos de alguna manera.
trial_boss_ahl,1,Failure_7002001_v3,/ci4 3 Ugh... Recibí demasiados golpes.<br>Voy a retirarme por ahora.
trial_enemy_ahl,0,Begin,/ci2 2 おっ！　いいところにいるじゃないか。<br>手を貸してもらうぜ！
trial_enemy_ahl,0,Success,/ci8 1 まぁ、こんなもんか。<br>あんたも、なかなかいい動きしてたぜ！
trial_enemy_ahl,0,Failure,/ci5 3 おいおい、逃げてくぜ。<br>なんだよ、大したことないな。
trial_enemy_ahl,0,Dead,/ci5 3 うぅ……こんなはずでは……。
trial_enemy_ahl,0,Begin_v2,/ci1 1 あら、いいところに。<br>少し手伝ってもらえないかしら。
trial_enemy_ahl,0,Success_v2,/ci2 1 ……ありがとう。助かったわ。<br>これからもよろしく。
trial_enemy_ahl,0,Failure_v2,/ci4 3 これ以上は危険よ！<br>ごめんなさい、先に撤退するわね。
trial_enemy_ahl,0,Dead_v2,/ci5 3 うぅ……こんなはずでは……。
trial_enemy_ahl,0,Begin_7903001,/ci2 1 手早く片付けよう。<br>よろしく頼むぜ！
trial_enemy_ahl,0,Success_7903001,/ci8 2 助かったぜ！　ありがとよ。
trial_enemy_ahl,0,Failure_7903001,/ci4 3 なんだよ、これからってときに。
trial_enemy_ahl,0,Dead_7903001,/ci4 3 ……こ、こんなところで……。
trial_enemy_ahl,0,BuddyDead_7903001,/ci4 3 ……こ、こんなところで……。
trial_enemy_ahl,0,Begin_7002001_v3,/ci1 2 なんで、こんなにエネミーが……。
trial_enemy_ahl,0,Success_7002001_v3,/ci2 1 ふう……、なんとかなったわね。
trial_enemy_ahl,0,Failure_7002001_v3,/ci4 3 くっ……少し攻撃を受けすぎたわ……。<br>ここは、後退せてもらうわね。
trial_enemy_ahl,0,Dead_7002001_v3,/ci4 3 ……こ、こんなところで……。
trial_enemy_ahl,0,BuddyDead_7002001_v3,/ci4 3 ……こ、こんなところで……。
trial_enemy_ahl,1,Begin,/ci2 2 ¡Hola! Apareciste en el momento perfecto.<br>¡Ayúdame con algo!
trial_enemy_ahl,1,Success,"/ci8 1 Ah, bueno. No puedo ganarlos todos.<br>¡Aunque eras realmente extraordinario!"
trial_enemy_ahl,1,Failure,"/ci5 3 ¡Oye, oye, no des la vuelta y corras!<br>Hmph. Muchos débiles."
trial_enemy_ahl,1,Begin_7903001,/ci2 1 Es hora de sacar la basura.<br>¡Cuento contigo!
trial_enemy_ahl,1,Success_7903001,/ci8 2 ¡Lo lograste! ¡Gracias por la ayuda!
trial_enemy_ahl,1,Failure_7903001,/ci4 3 ¿Qué da? Recién estaba comenzando.
