section,group,id,text
common,0,TrialName,短時狭域エネミー掃討
common,0,TrialBeginMsg,制限時間内にエネミーを殲滅せよ！
common,0,TrialAbstract,制限時間内に全てのエネミーを倒す
common,0,Toast_AddTimeLimitWaveClear,エネミー殲滅！<br><yellow>制限時間増加：$(0)秒<c>
common,0,Toast_WaveClear_11300060_01,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300060_02,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300060_03,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300060_04,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300060_05,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300060_06,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300060_07,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300060_08,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300060_09,エネミー殲滅！<br>強力なエネミー反応あり！
common,0,Toast_WaveClear_11300070_01,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300070_02,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300070_03,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300070_04,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300070_05,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300070_06,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300070_07,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300070_08,エネミー殲滅！<br>さらに多数のエネミー反応あり！
common,0,Toast_WaveClear_11300070_09,エネミー殲滅！<br>強力なエネミー反応あり！
common,1,TrialName,Supresión enemiga rápida y enfocada
common,1,TrialBeginMsg,¡Erradica a todos los enemigos dentro del límite de tiempo!
common,1,TrialAbstract,Derrota a todos los enemigos dentro del límite de tiempo.
common,1,Toast_AddTimeLimitWaveClear,¡Enemigos destruidos!<br><yellow> Tiempo agregado: $(0) segundos <c>
common,1,Toast_WaveClear_11300060_01,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300060_02,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300060_03,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300060_04,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300060_05,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300060_06,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300060_07,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300060_08,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300060_09,¡Enemigos eliminados!<br>¡Estamos obteniendo una lectura poderosa!
common,1,Toast_WaveClear_11300070_01,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300070_02,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300070_03,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300070_04,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300070_05,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300070_06,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300070_07,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300070_08,¡Enemigos eliminados!<br>¡Estamos recogiendo más lecturas!
common,1,Toast_WaveClear_11300070_09,¡Enemigos eliminados!<br>¡Estamos obteniendo una lectura poderosa!
type104,0,NpcComOnBegin,エネミーの出現を確認！<br>できる限り早く、殲滅を頼む。
type104,0,NpcComOnFirstAddTime,エネミー撃破の影響で、<br>撤退までわずかに猶予が生まれたようです。
type104,0,NpcComOnWaveClear,更なる敵性反応を確認しました！<br>戦闘に備えてください！
type104,0,NpcComOnSuccessByTimeOver,……敵の攻勢が止んだな。<br>なんとか防ぎきれたみたいだ。協力、ありがとうな。
type104,0,NpcComOnSuccess,エネミーの殲滅を確認！<br>任務完了だ。協力、ありがとうな！
type104,1,NpcComOnBegin,Enemy presence confirmed!<br>We need you to eradicate them as quickly as possible.
type104,1,NpcComOnSuccessByTimeOver,It looks like we made it through the onslaught. Thanks for all your help.
type104,1,NpcComOnSuccess,Enemy eradication confirmed!<br>Mission accomplished. Thank you for your support.
