section,group,id,text
TutorialText,0,Title,シーズナルイベント
TutorialText,0,text0001,<yellow>“シーズナルイベント”<c>は、<br>特定の期間に開催されるイベントです。<br><br>期間中は、マップやエネミーの見た目などが変化します。<br><br>また、イベントの案内役として、<yellow>各アークス拠点<c>に、<br>アークス後方支援員の<yellow>シトレー<c>が出現します。
TutorialText,0,text0002,シトレーからは、イベントに即したタスクを受注することができます。<br><br>また、イベントに合わせて、<br><yellow>“デイリー/ウィークリータスク”<c>も追加発生します。
TutorialText,0,text0003,さらに、各リージョンの探索セクションに<br>通常のホログラフィックとは異なる<br><yellow>“ミスチーフシンボル”<c>が出現します。<br><br>ミスチーフシンボルは<yellow>“マグソナー”<c>で探すことができます。<br><br>このミスチーフシンボルを探す、期間限定タスクもあります。
TutorialText,0,text0004,加えて、専用のスクラッチ券を使用することで挑戦できる<br>“期間限定スペシャルスクラッチ”も登場します。<br><br>このスクラッチ券は期間限定の緊急クエストや、<br>同じく期間限定のアイテム交換ショップなどから入手できます。<br><br>シーズナルイベントの詳細は、シトレーにアクセスし、<br><yellow>“シーズナルイベントについて聞く”<c>を選択することで<br>確認できます。
TutorialText,1,Title,Eventos de temporada
TutorialText,1,text0001,g el evento.
TutorialText,1,text0002,愀搀搀椀琀椀漀渀愀氀 猀攀愀猀漀渀愀氀 㰀礀攀氀氀漀眀㸀䐀愀椀氀礀 愀渀搀 圀攀攀欀氀礀 吀愀猀欀猀㰀挀㸀 琀漀 琀爀礀 漀甀琀⸀
TutorialText,1,text0003,㰀挀㸀⸀㰀戀爀㸀㰀戀爀㸀䘀椀渀搀 琀栀攀猀攀 猀礀洀戀漀氀猀 眀椀琀栀 礀漀甀爀 㰀礀攀氀氀漀眀㸀䴀愀最✀猀 猀漀渀愀爀㰀挀㸀 琀漀 搀漀 吀愀猀欀猀 氀椀洀椀琀攀搀 琀漀 琀栀攀 匀攀愀猀漀渀愀氀 䔀瘀攀渀琀 瀀攀爀椀漀搀⸀
TutorialText,1,text0004,匀攀愀猀漀渀愀氀 䔀瘀攀渀琀猀㰀挀㸀⸀
