ui_equip.text was created: 04-07-2026 7:34:31
Filesize is: 12576 bytes

Accessories
Group 0
Accessories_Name1 - アクセサリー1
Accessories_Name2 - アクセサリー2
Accessories_Name3 - アクセサリー3
Accessories_Name4 - アクセサリー4
Accessories_FormTitle - アクセサリー
List_FormTitle - アクセサリー一覧
NoAccessoriesMessage - アクセサリーがありません
Remove - 外す
AccessoryTab_All - すべてのアクセサリー
AccessoryTab_Hat - 頭部上段
AccessoryTab_Glasses - 頭部中段
AccessoryTab_HeadAll - 頭部小物
AccessoryTab_Other - その他
AccessoryTab_Favorite - お気に入り

Group 1
Accessories_Name1 - Accessory 1
Accessories_Name2 - Accessory 2
Accessories_Name3 - Accessory 3
Accessories_Name4 - Accessory 4
Accessories_FormTitle - ACCESSORIES
List_FormTitle - ACCESSORY LIST
NoAccessoriesMessage - No Accessories
Remove - Remove
AccessoryTab_All - All Accessories
AccessoryTab_Hat - Upper Head
AccessoryTab_Glasses - Mid-Head
AccessoryTab_HeadAll - Minor Head Accessories
AccessoryTab_Other - Other
AccessoryTab_Favorite - Favorites


Fashion
Group 0
Fashion_Title - ファッション編集
Fashion_Title2 - ファッション情報
Fashion_HairStyle - ヘアスタイル選択
Fashion_HeadParts - ヘッドパーツ選択
Fashion_BodyPaint - ボディペイント選択
Fashion_Costume - コスチューム選択
Fashion_Body - ボディ選択
Fashion_Arm - アーム選択
Fashion_Leg - レッグ選択
Fashion_BaseWear - ベースウェア選択
Fashion_InnerWear - インナーウェア選択
Fashion_OuterWear - アウターウェア選択
Fashion_Acc - アクセサリー変更
Fashion_PaintPriority - ボディペイント表示順変更
Fashion_SwordPosition - 納刀位置調整
Fashion_MoveMotion - 走行モーション選択
Fashion_MyFashion - マイファッション
Item_Motion_Leg - 二足歩行
Item_Motion_Hover - ホバー
info_title_Hair - ヘアスタイル/ヘッドパーツ
info_title_Body - ボディペイント
info_title_Costume - コスチューム
info_title_Parts - パーツ
info_title_Layer - レイヤリングウェア
info_title_Acc - アクセサリー
info_title_Face - 顔
info_title_Make - メイクパターン
info_title_Sticker - ステッカー
info_Hair - 頭部
info_Body - ボディ
info_Arm - アーム
info_Leg - レッグ
info_Costume - 服
info_Outer - アウター
info_Base - ベース
info_Inner - インナー
info_1 - 1
info_2 - 2
info_3 - 3
info_4 - 4
info_5 - 5
info_6 - 6
info_7 - 7
info_8 - 8
info_9 - 9
info_10 - 10
info_11 - 11
info_12 - 12
info_13 - 13
info_14 - 14
info_15 - 15
info_16 - 16
info_17 - 17
info_18 - 18
info_Teeth - 歯
info_Horn - 角
info_Ear - 耳
info_Skin - 肌
info_Face - 顔
info_Eye - 瞳
info_EyeR - 瞳右
info_EyeL - 瞳左
info_Eyebrow - まゆ
info_Eyelash - まつげ
Title_HairStyle - ヘアスタイル一覧
Title_HeadParts - ヘッドパーツ一覧
Title_BodyPaint - ボディペイント一覧
Title_Body - ボディ一覧
Title_Arm - アーム一覧
Title_Leg - レッグ一覧
Title_Costume - コスチューム一覧
Title_Outer - アウターウェア一覧
Title_Base - ベースウェア一覧
Title_Inner - インナーウェア一覧
NoMessage - アイテムがありません
FashionTab_All - すべて
FashionTab_Favorite - お気に入り
NoItemMsg - なし
NoOuterItemMsg - アウターウェアがありません
InvalidHyphen - －
Body_Name1 - ボディペイント1
Body_Name2 - ボディペイント2
Body_FormTitle - ボディペイント
Body_List_FormTitle - ボディペイント一覧
NoAccessoriesMessage - ボディペイントがありません
Remove - 外す
Favorite_Add - お気に入りに登録
Favorite_Delete - お気に入りから削除
Body_display_1 - 優先度1
Body_display_2 - 優先度2
Body_display_3 - 優先度3
MoveMotion_1 - 二足歩行
MoveMotion_2 - ホバー
Fashion_OtherFashion - ブックマーク
PageSwitch_PC - <%NextTabDetails>で切替
PageSwitch_Vita - <pict Sign_TRIANGLE>切替
Error_Title - エラー
Error_ImproperData_LoadMyFashion - この保存データは問題があるため<br>適用できません。<br><br>当該データをエステで修正するか<br>他のデータで上書き、もしくは削除してください。
Error_ImproperData_SaveMyFashion - 現在の外見データは問題があるため<br>マイファッションへの保存ができません。<br><br>他のデータを適用するか、エステで修正してください。
FashionTab_New_Base - N-ベースウェア
FashionTab_Base - ベースウェア
FashionTab_New_Inner - N-インナーウェア
FashionTab_Inner - インナーウェア
Fashion_Incompatible - 非対応
FashionTab_New_Body - N-ボディ
FashionTab_Body - ボディ
FashionTab_New_Arms - N-アーム
FashionTab_Arms - アーム
FashionTab_New_Legs - N-レッグ
FashionTab_Legs - レッグ
FashionTab_New_Outer - N-アウターウェア
FashionTab_Outer - アウターウェア

Group 1
Fashion_Title - CUSTOMIZE LOOKS
Fashion_Title2 - LOOK BREAKDOWN
Fashion_HairStyle - Select Hairstyle
Fashion_HeadParts - Select Head Parts
Fashion_BodyPaint - Select Body Paint
Fashion_Costume - Select Outfit
Fashion_Body - Select Body
Fashion_Arm - Select Arms
Fashion_Leg - Select Legs
Fashion_BaseWear - Select Basewear
Fashion_InnerWear - Select Innerwear
Fashion_OuterWear - Select Outerwear
Fashion_Acc - Change Accessories
Fashion_PaintPriority - Body Paint Priority
Fashion_SwordPosition - Sheathe Position
Fashion_MoveMotion - Movement Type
Fashion_MyFashion - Looks
Item_Motion_Leg - Bipedal Walk
Item_Motion_Hover - Hover
info_title_Hair - HAIRSTYLES / HEAD PARTS
info_title_Body - BODY PAINT
info_title_Costume - OUTFITS
info_title_Parts - PARTS
info_title_Layer - LAYERS
info_title_Acc - ACCESSORIES
info_title_Face - FACE
info_title_Make - MAKEUP PATTERN
info_title_Sticker - STICKERS
info_Hair - Head
info_Body - Body
info_Arm - Arms
info_Leg - Legs
info_Costume - Clothing
info_Outer - Outer
info_Base - Base
info_Inner - Innerwear
info_1 - 1
info_2 - 2
info_3 - 3
info_4 - 4
info_5 - 5
info_6 - 6
info_7 - 7
info_8 - 8
info_9 - 9
info_10 - 10
info_11 - 11
info_12 - 12
info_13 - 13
info_14 - 14
info_15 - 15
info_16 - 16
info_17 - 17
info_18 - 18
info_Teeth - Teeth
info_Horn - Horns
info_Ear - Ears
info_Skin - Skin
info_Face - Face
info_Eye - Eyes
info_EyeR - Right Iris
info_EyeL - Left Iris
info_Eyebrow - Eyebrows
info_Eyelash - Eyelashes
Title_HairStyle - Hairstyle List
Title_HeadParts - Head Parts List
