section,group,id,text
Common,0,YesText,はい
Common,0,NoText,いいえ
Common,0,CloseText,閉じる
Common,0,OpenText,開く
Common,0,MaxText,最大化
Common,0,MinText,最小化
Common,0,Sort,ソート
Common,0,Copy,コピー
Common,0,Peaste,貼りつけ
Common,0,NextText,次へ
Common,0,PrevText,前へ
Common,0,DecideText,決定
Common,0,CancelText,キャンセル
Common,0,OKText,OK
Common,0,ReturnText,戻る
Common,0,TitleText,メッセージ
Common,0,CheckText,以降、このウィンドウを開かない
Common,0,NoneText,なし
Common,0,Preview,プレビュー
Common,0,SimplePreview,簡易プレビュー
Common,0,Skip,次に表示される選択肢、または終了まで<br>イベントシーンをスキップします。<br><br>よろしいですか？
Common,0,SkipMovie,動画再生を終了します。<br><br>よろしいですか？
Common,0,SymbolArt_BANtext,そのシンボルアートは、現在保存することができません。
Common,0,BlockBurstIntoNG,参加予定パーティーの状態に変更があるため参加できませんでした。
Common,0,TimeText,$(0)分$(1)秒$(2)
Common,0,NumItem,$(0)を$(1)個
Common,0,NumItem2,$(0)×$(1)
Common,0,Bracket,（$(0)）
Common,0,SquareBracket,「$(0)」
Common,0,ErrorResetAmCoinWithoutWarning,カジノコインの所持枚数が上限を超えているため、移動できませんでした。
Common,0,Ranking,$(3) $(2) 第$(1)位 $(0)
Common,0,RankingVita,$(3) $(2) 第$(1)位 $(0) “PS Vita”専用ブロック
Common,0,VolcanoClearTime,クリア時間：$(0)
Common,0,Contribution,全セクター獲得迎撃ポイント合計 $(0)<pict Target_CP>
Common,0,SkipNaviKey,<yellow>【[Esc]キー】<c>でスキップ
Common,0,SkipNaviButton,<yellow>【<c><%AllWindowClose><yellow>ボタン】<c>でスキップ
Common,0,BoostLevelUp,クエスト連動ブーストのレベルが$(0)にアップ！<br>ブースト対象クエストで新たな効果が発生！
Common,0,PreviewZoom,（<c cfcfcf>回転拡大<c> <%Exception> <yellow>平行移動<c>）
Common,0,PreviewZoom_mouse,（<c cfcfcf>回転拡大<c> <pict mouse_right> <yellow>平行移動<c>）
Common,0,PreviewMove,（<yellow>回転拡大<c> <%Exception> <c cfcfcf>平行移動<c>）
Common,0,PreviewMove_mouse,（<yellow>回転拡大<c> <pict mouse_right> <c cfcfcf>平行移動<c>）
Common,0,ErrorMackQuest,パーティーメンバーがクエスト内に揃っていないため開始できません
Common,0,ErrorIgnoreQuest,このクエストは現在、受注できません。詳しくはプレイヤーズサイトをご確認ください。
Common,0,BlockType_01,PSO2ブロック
Common,0,BlockType_02,PSO2:NGSブロック
Common,0,BlockType_03,全シップマッチング中
Common,0,Hyphen,-
Common,0,All,すべて
Common,0,FreeSgScratch,本日分の無料スクラッチを行うことができます。<br>確認を行いますか？
Common,0,FreeFirsrtTimeACScratch,現在、初回無料ACスクラッチを引くことができます。<br>内容を確認しますか？
Common,0,FreeFirsrtTimeMainMenuText,1回無料<br>スクラッチ
Common,0,BlockMoveFailure,ブロック移動に失敗しました。
Common,0,BlockadeMsg_Title1,インフォメーション
Common,0,BlockadeMsg_Text1,現在、このオブジェクトにはアクセスできません。<br>詳しくはプレイヤーズサイトをご確認ください。
Common,0,SimpleTimeText,$(0)：$(1)
Common,0,Lupe_TextStart,拡大鏡モードを開始しました。
Common,0,Lupe_TextEnd,拡大鏡モードを終了しました。
Common,0,Lupe_TextTerminate1,機能割当が変更されたため、拡大鏡モードを終了しました。
Common,0,Lupe_TextTerminate2,設定が変更されたため、拡大鏡モードを終了しました。
Common,0,Lupe_ControlGuide,表示範囲移動：<swguidetype CursorMove>　　ズーム：<swguidetype Zoom>　　拡大鏡モード終了：<swguidetype ShiftTrigger>+<swguidetype EscMenu>
Common,0,NotReceptQuestPartyGuest,あなたはパーティーリーダーではないためクエストを受注できません。
Common,0,NotFoundQuestSearch,条件に当てはまるクエストが見つかりませんでした。
Common,0,CantStartQuestCapacityOverRoom,ルームの人数オーバーのため参加できません。
Common,0,NotFoundPartyList,パーティーが見つかりませんでした。
Common,0,CantStartQuestCapacityOverParty,パーティーの人数オーバーのため参加できません。
Common,0,PasswordNG,パスワードが間違っています。
Common,0,BurstIntoNG,クエストにより途中参加が制限されています。
Common,0,CautionQuestEnd,クエストが終了しているため参加できません。
Common,0,CantStartQuestTimeLimitOver,クエストの受注可能期間が過ぎています。
Common,0,CautionQuestReleaseNG,このクエストには参加できません。
Common,0,CautionQuestReleaseNG2,このクエストは現在、受注できません。<br>詳しくはプレイヤーズサイトをご確認ください。
Common,0,CautionRoomDelete,ルームが存在しないため参加できません。
Common,0,CautionBlockMoveNG,ブロックの移動に失敗しました。
Common,0,MatchingRejectJikkyouForRejectUser,ただいま一部のルームへの参加について制限を実施させていただいております。
Common,0,MatchingRejectJikkyouForJikkyou,指定のルームに合流できないため、新規ルームを作成しました。
Common,0,CautionUnknown,不明なエラーです。
Common,0,Loading,NOW LOADING
Common,0,Not_accessible_ToastMessage,全シップマッチング中は選択できません。
Common,0,Message_NewIconViewed,“$(0)”で表示中の<br>“<pict New><pict 4space>新着アイコン”をすべて消去します。<br><br>よろしいですか？
Common,0,ToastText_NewIconViewed,“$(0)”の新着アイコンをすべて消去しました。
Common,0,TascSuccessInfo_reward,報酬
Common,0,TascSuccessInfo_General,タスク達成！
Common,0,TascSuccessInfo_Achievement,称号タスク達成！
Common,0,TascSuccessInfo_AchievementPt,称号ポイント $(0)Pt
Common,0,TascSuccessInfo_AchievementName,称号名“$(0)”
Common,0,ShopAccessError,ショップにアクセスできませんでした。
Common,0,MySpace_RegisterText,ビルドパーツを登録しました。
Common,0,Mag_RegisterText,マグのフォルムを登録しました。
Common,1,YesText,Sí
Common,1,NoText,No
Common,1,CloseText,Cerca
Common,1,OpenText,Abierto
Common,1,MaxText,Maximizar
Common,1,MinText,Minimizar
Common,1,Sort,Clasificar
Common,1,Copy,Copiar
Common,1,Peaste,Pasta
Common,1,NextText,Próximo
Common,1,PrevText,Anterior
Common,1,DecideText,Confirmar
Common,1,CancelText,Cancelar
Common,1,OKText,DE ACUERDO
Common,1,ReturnText,Atrás
Common,1,TitleText,MENSAJE
Common,1,CheckText,Esta ventana no se volverá a abrir.
Common,1,NoneText,Ninguno
Common,1,Preview,Avance
Common,1,SimplePreview,Vista previa simplificada
Common,1,Skip,¿Está seguro de que desea omitir la escena del evento e ir<br>al siguiente conjunto de opciones o al final?
Common,1,SkipMovie,Finalizará la reproducción de la escena actual.<br><br> ¿Estás seguro?
Common,1,SymbolArt_BANtext,Actualmente no puedes guardar ese símbolo artístico.
Common,1,BlockBurstIntoNG,No se puede unir porque el estado del grupo al que desea unirse ha cambiado.
Common,1,TimeText,"$(0) minuto(s), $(1) segundo(s) $(2)"
Common,1,NumItem,$(1) $(0)(s)
Common,1,NumItem2,$(0) × $(1)
Common,1,Bracket,($(0))
Common,1,SquareBracket,[$(0)]
Common,1,ErrorResetAmCoinWithoutWarning,No puedes moverte porque la cantidad de CC que tienes excede el máximo.
Common,1,Ranking,$(3) $(2) N° $(1) $(0)
Common,1,RankingVita,$(3) $(2) No. $(1) $(0) Bloque exclusivo “PS Vita”
Common,1,VolcanoClearTime,Tiempo de finalización: $(0)
Common,1,Contribution,"Total de puntos de intercepción, todos los sectores: $(0) <pict Target_CP>"
