section,group,id,text
Title,0,name01,クライアントオーダーについて
Title,1,name01,Client Orders
whelp_clientorder,0,whelp_clientorder01,<yellow>【クライアントオーダーについて】<c><br><br>　「クライアントオーダー」とは、人々からの依頼を引き受けて<br>　それを達成することで、さまざまな報酬を入手できる仕組みです。<br>　依頼された条件を満たしたら、依頼主に報告に行きましょう。<br><br>　依頼には、いくつかの「クリア条件のタイプ」があります。<br>　次のページから、各タイプについて説明します。<br><br>　【オンラインマニュアル説明ページURL】<br>　<&URL pso2_players_manual_preparations_quest_clientorder>
whelp_clientorder,0,whelp_clientorder02,<yellow>●クリア条件が「武器」のタイプ<c><br><br>　指定された武器で敵を倒した場合のみ、カウントされます。<br><br>　「～系」という表記なら、同カテゴリの武器であればＯＫです。<br>　「ソードのみ」のような表記では、その武器だけが対象です。<br><br>　（例）<yellow>※大剣系限定<c> ：ソード系ならどれでもＯＫ
whelp_clientorder,0,whelp_clientorder03,<yellow>●クリア条件が「制限時間」のタイプ<c><br><br>　指定された時間以内に目標を達成する必要があります。<br><br><yellow>●クリア条件が「リザルトランク」のタイプ<c><br><br>　クエストクリア時のリザルトランクが、<br>　指定されたもの以上である必要があります。<br><br><yellow>●クリア条件が「クラス」のタイプ<c><br><br>　指定されたクラスで目標を達成する必要があります。
whelp_clientorder,0,whelp_clientorder04,<yellow>●クリア条件が「パートナーキャラクター」のタイプ<c><br><br>　指定されたキャラクターや、指定された人数を連れた状態で<br>　目標を達成する必要があります。<br><br><yellow>●クリア条件が「エネミーレベル」のタイプ<c><br><br>　エネミー撃破や、エネミーのドロップするアイテムの収集が<br>　目標の場合の条件です。エネミーレベルが指定の範囲外の場合、<br>　カウントやドロップの対象となりません。
whelp_clientorder,1,whelp_clientorder01,<yellow>[Client Orders]<c><br><br>The Client Order system allows you to take requests from different characters<br>and receive an assortment of rewards upon their completion. Just be sure<br>to report back to the client who gave you the request when you're finished.<br><br>Client Orders can have a number of different requirements.<br>The next few pages will explain the different requirement types.<br><br>[Online Manual URL]<br><&URL pso2_players_manual_preparations_quest_clientorder>
whelp_clientorder,1,whelp_clientorder02,"<yellow>-Weapon Requirements<c><br><br>Defeated enemies will only be tallied if taken down using the designated weapon.<br><br>When the requirement is ""(weapon category) only"", you can use any weapon<br>that falls in that category.<br>When the requirement is ""(weapon name) only"" however, you must use the<br>specified weapon.<br><br>Ex.)<yellow>Swords only<c>: Any sword-type weapon is acceptable."
whelp_clientorder,1,whelp_clientorder03,<yellow>-Time Requirements<c><br><br>The request must be completed within the allotted amount of time.<br><br><yellow>-Result Requirements<c><br><br>The request must be completed at or above the designated result ranking.<br><br><yellow>-Class Requirements<c><br><br>Objectives must be met while playing as the designated class.
whelp_clientorder,1,whelp_clientorder04,<yellow>-Partner Requirements<c><br><br>The request must be completed with the designated character or the designated<br>number of characters in your party.<br><br><yellow>-Enemy Level Requirements<c><br><br>This requirement applies to enemy elimination and drop collection requests.<br>Any enemies defeated or drops collected outside the designated enemy level<br>will not count towards your goal.
