section,group,id,text
Title,0,name01,ペットについて
Title,1,name01,Pets
whelp_pet,0,whelp_pet01,<yellow>【ペットについて】<c><br><br>　「ペット」は、サモナーが召還することで<br>　一緒に戦ってくれる仲間です。<br><br>　ペットは、<yellow>エッグ<c>というアイテムを<br>　「使う」と登録され、呼び出し可能になります。<br><br>　サモナーは、武器「タクト」に<yellow>好きなペット<c>と<br>　<yellow>ペットＰＡ<c>（必殺技）をセットして戦います。
whelp_pet,0,whelp_pet02,<yellow>【ペットのレベルを上げるには？】<c><br><br>　ペットはプレイヤーと違って、戦闘で<br>　<yellow>エネミーを倒しても経験値は得られません。<c><br><br>　ペットのレベルを上げて強くするには、<br>　<yellow>エッグ合成で経験値を与える<c>必要があります。<br><br>　ドロップなどで手に入れたエッグが余ったら、<br>　エッグ合成でペットに経験値を与えましょう。<br><br>　※エッグ合成は<yellow>５回まで連続で行えます。<c><br>　　その後、一定時間でふたたび実行できます。
whelp_pet,0,whelp_pet03,<yellow>【キャンディーでカスタマイズ！】<c><br><br>　<yellow>キャンディー<c>はお菓子の形をしたペット用デバイスで、<br>　ペットを選んで「<yellow>キャンディーボックス<c>」に<br>　セットすると、効果を発揮します。<br><br>　強いけど場所を取るキャンディーは、ペットラボで<br>　「<yellow>キャンディー圧縮<c>」して、小さくしましょう。<br><br>　キャンディーは、セット時に回転はできません。<br>　また、消したい時は「キャンディーイレーサー」が、<br>　戻したい時は「キャンディーリムーバー」が必要です。
whelp_pet,0,whelp_pet04,<yellow>【ペットをレアリティ進化させよう！】<c><br><br>　★７のワンダを育成中に、「★９のワンダエッグ」を<br>　入手してしまった……そんな時は、レアリティ進化！<br><br>　ペットラボで「<yellow>ペットのレアリティ進化<c>」を選ぶと、<br>　★７のワンダを、★９に進化させることができます。<br><br>　<yellow>同じペット種＆よりレアリティの高いエッグ<c>が必要です。<br><br>　【オンラインマニュアル説明ページURL】<br>　<&URL pso2_players_manual_preparations_pet
whelp_pet,1,whelp_pet01,"<yellow>[Pets]<c><br><br>Pets are special allies that Summoners call upon for aid in battle.<br><br>Pets can be summoned after an <yellow>Egg<c> is ""used"" to register them.<br><br>Summoners battle by equipping [Harmonizers] set with their <yellow>desired Pet<c><br>and <yellow>Pet Photon Arts.<c>"
whelp_pet,1,whelp_pet02,"<yellow>[Leveling Up Pets]<c><br><br>Unlike player characters, Pets <yellow>do not earn EXP from defeating enemies.<c><br><br>In order to level up your Pets, you will need to <yellow>give them EXP via Egg Synthesis<c>.<br><br>Whenever you get Eggs you do not need, be sure to use Egg Synthesis to give<br>your Pets some EXP.<br><br>Egg Synthesis <yellow>can be used up to 5 times in a row,<c> after which you will<br>have to wait until you are able to use it again."
whelp_pet,1,whelp_pet03,"<yellow>[Customize with Sweets!]<c><br><br>Sweets are devices for pets that are delightfully shaped like delicious treats.<br>Just select your pet and add some to their <yellow>Sweets Box<c> for them to take effect.<br><br>If you ever find your powerful Sweets taking up too much space, head to the<br>Pet Lab and make them smaller with the <yellow>Compress Sweets<c> service.<br><br>Sweets cannot be rotated once set, and you will need to use [Sugar Tongs]<br>when you want to extract them to use again or [Sweets Dissolver] when you want<br>to get rid of them."
whelp_pet,1,whelp_pet04,"<yellow>[Evolve your Pets!]<c><br><br>So there you are, busy raising a 7★ Wanda, when you get a 9★ Wanda Egg...<br>What do you do? You evolve your Pet!<br><br>By choosing <yellow>[Evolve a Pet]<c> at the Pet Lab, you can evolve your<br>7★ Wanda into a 9★ Wanda!<br><br>You will need <yellow>an egg of the same Pet type and higher rarity<c> to do so, mind.<br><br>[Online Manual URL]<br><&URL pso2_players_manual_preparations_pet>"
