section,group,id,text
Title,0,name01,『エクストリームクエスト』ステージについて
Title,1,name01,Extreme Quests Stages
mess,0,text01,「エクストリームクエスト」は複数のエリアが<br>「ステージ」という単位で構成されており、<br><yellow>一度のプレイで５ステージまで進める<c>ことが<br>できます。<br><br>「エクストリームクエスト」を開始するには<br><yellow>「エクストリームパス」が必要<c>になります。<br><br>パーティーリーダーがキャンプシップ内の<br>ゲートにて人数分の「エクストリームパス」<br>を消費することで開始できます。<br><yellow>各自で支払うか、<br>リーダーがまとめて支払うかを選択<c>できます。
mess,0,text02,各ステージに出現するエネミーを全滅<br>させることで次のステージに進むことが<br>出来ます。<br><br>５ステージ目をクリアすると<br>クエストクリアとなり<yellow>次回からは最後に<br>クリアしたステージの次のステージまでの間で<br>開始ステージを選択できます。<c><br><br>クリアしたステージの記録は<yellow>最終ステージを<br>クリアするとリセットされますが<br>特別な報酬を獲得<c>できます。
mess,0,text03,「エクストリームクエスト」のドロップ<br>アイテムは「仮想アイテム」として<br>特別なシンボルで出現します。<br><br>拾得すると<yellow>アイテムパックには入らず<br>仮想アイテムとして一時的に保存<c>されます。<br><br>仮想アイテムはクエストクリア時のみ<br><yellow>「エクストリーム端末」から一定数だけ<br>持ち帰る<c>ことができます。<br><br><yellow>持ち帰れる数は各ステージで提示される<br>「ステージオーダー」のクリア数により<br>変化<c>します。
mess,0,text04,最終ステージをクリアした際は、これまでの記録が<br>全てリセットされ、最初から始める必要があります。<br><br>そのかわり、最終ステージクリア後のイベントで<br>特別報酬をもらえます。<br><br><yellow>※クリアステージの記録やリセットが行われる対象は<br>連続したクリアステージの記録を持つメンバー全員です。<br><br>※クリアステージの記録と繋がっていないステージを<br>プレイした場合、記録やリセットが行われることはありません。<br><br>※最終ステージは定期的に拡張されます。<c>
mess,1,text01,"Multiple areas are split into stages, and you can <yellow>proceed through <br>five stages in one playthrough<c>. <br><br>You <yellow>need an Extreme Pass<c> in order to start an Extreme Quest. <br><br>Party Leaders can expend Extreme Passes for several people at the gate <br>within the Gateway Ship. <br><br>You can <yellow>choose whether to have everyone use their own passes <br>or to have the leader pay for everyone<c>."
mess,1,text02,"You can proceed to the next stage by defeating all the enemies that appear. <br><br>Once you clear five stages, you will complete the quest and can <yellow>choose <br>to start from the subsequent stage when taking on another quest<c>. <br><br>The record of the stages you've cleared will be <yellow>reset when you clear <br>the final stage, but you will get a special reward in return<c>."
mess,1,text03,"The items dropped in Extreme Quests are Virtual Items and bear a special icon. <br><br>They <yellow>do not go into your inventory when they are picked up, and are <br>instead saved in their own space as Virtual Items<c>. <br><br>It is only when the quest is cleared that a certain number of them can <br>be <yellow>taken back using the Extreme Terminal<c>. <br><br><yellow>The amount you can take back changes depending on the number of <br>completed Stage Orders displayed on each stage<c>."
mess,1,text04,"Upon completion of the final stage, your clear record will be reset, and you will <br>need to start back from the beginning.<br><br>In exchange, you will receive special rewards to commemorate completion of <br>the final Stage.<br><br><yellow>The clear record and reset will affect all members who have cleared <br>all Stages consecutively.<br><br>If a player plays a Stage they have not yet reached, their record will not be reset.<br><br>The final Stage is periodically expanded."
