section,group,id,text
Required,0,Title,エアリオ連破訓練・2-Ⅱ
Required,0,Summary,アークス上級訓練教官ロナルディンから、<br>経験を積むために、<br>エネミーの討伐を勧められる。<br><br><yellow>※対象リージョン：エアリオ<br>※推奨セクション：<br>　ヴァンフォード研究所跡（Rank.5以上）<c>
Required,1,Title,Aelio Entrenamiento implacable 2-II
Required,1,Summary,ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience.<br><br><yellow>Target region: Aelio<br><br>Recommended Sector: Vanford Laboratory Ruins (Rank 5 or higher)<c>
SubObjectives,0,text0101,バインホッグ（Lv.70以上）を倒す
SubObjectives,0,text0102,バロウグ・ガン（Lv.70以上）を倒す
SubObjectives,0,text0103,アーンズゥ（Lv.70以上）を倒す
SubObjectives,1,text0101,Derrota a Banehogs (Nv. 70 o superior)
SubObjectives,1,text0102,Derrota a Balrog Guns (Nv. 70 o superior)
SubObjectives,1,text0103,Derrota a Arnz (Nv. 70 o superior)
