section,group,id,text
common,0,Begin,/ci2 1 パティー開始
common,0,Success,/mn1 /ci2 2 パティー成功
common,0,Failure,/mn1 /ci2 2 パティー失敗
common,0,Dead,/mn1 /ci2 2 パティー死亡
common,0,BuddyDead,/mn1 /ci2 2 パティー相手が死亡
common,0,Evolution,/mn1 /ci2 2 パティー発展
common,1,Begin,/ci2 1 Pati Comienzo
common,1,Success,/mn1 /ci2 2 Pati Exito
common,1,Failure,/mn1 /ci2 2 Pati Fracaso
common,1,Dead,/mn1 /ci2 2 Pati Muerte
common,1,BuddyDead,/mn1 /ci2 2 Muere la pareja de Pati
common,1,Evolution,/mn1 /ci2 2 Pati Evolucion
5014,0,Begin,/ci2 1 ケーキ！　ケーキ！　おいしいケーキ！<br>ナウラのケーキ屋でておいでー！<br>でないとこっちから出向くぞー！
5014,0,Success,/ci2 2 ふふふふ、この程度でアタシの<br>ケーキへの道を閉ざすことはできない！<br>さあさティア、捜索再開だよー！
5014,0,Failure,/ci3 1 むむっ、こりゃたまらん！<br>パティエンティアは撤退します！
5014,0,Dead,/ci4 1 ああ……ケーキの家が見える……<br>これは……夢？
5014,0,BuddyDead,/mn22 /ci4 1 ティアがやられた、だがティアは<br>あたし達の中でも一番の小物！　胸が！<br>……倒れてるティアからの視線が痛い！
5014,0,Evolution,/mn17 /ci2 2 まだ、来る！<br>ケーキへの道は長く険しいね！
5014,1,Begin,"/ci2 1 Cake! I need cake! Delicious cake! I know <br>you're here somewhere Naura Bakery, so come <br>on out! Don't make me come find you!"
5014,1,Success,"/ci2 2 Jajaja... Se necesitará más que eso para sofocar mi<br>búsqueda de pastel. ¡Ven Tia, retomamos nuestra búsqueda!"
5014,1,Failure,/ci3 1 ¡Esto realmente apesta! ¡PaTia cambio y fuera!
5014,1,Dead,/ci4 1 ¿Qué es esto? Veo una casa de pasteles...<br>¿Estoy... soñando?
5014,1,BuddyDead,"/mn22 /ci4 1 ¡Tia fue golpeada, pero era la<br>más pequeña de nosotros! ¡Mi pecho!<br>¡Es el dolor de la mirada penetrante de Tia!"
5014,1,Evolution,/mn17 /ci2 2 ¡Aún vienen! ¡Nuestra búsqueda del pastel<br>es ardua!
5014v2,0,Begin,/ci2 4 呼ばれて飛び出てじゃじゃーん！<br>アークスいちの情報屋<br>ただいま登場っ！
5014v2,0,Success,/ci2 2 さてさて！<br>例の件、覚えてるよね！<br>忘れてないよね！
5014v2,0,Failure,このままじゃティアも<br>行方不明になりそうなので<br>ここら辺でお引上げ！
5014v2,0,Dead,ちょ、ちょっと休憩したいかも……
5014v2,0,BuddyDead,ふふふ、ティアがやられたか……<br>しかーし、今日のあたしたちは<br>いつもとはひと味違うよーっ！
5014v2,1,Begin,/ci2 4 ¡Pediste y recibirás! ¡El equipo de inteligencia número uno<br>de ARKS a tu servicio!
5014v2,1,Success,"/ci2 2 ¡Esta bien, esta bien! ¿Recuerdas lo que buscamos <br>, verdad? ¡Sera mejor que no lo hayas olvidado!"
5014v2,1,Failure,"Es probable que Tia se pierda a este ritmo, ¡así que<br>me retiraré de aquí!"
5014v2,1,Dead,"Espera, yo... podria necesitar un descanso..."
5014v2,1,BuddyDead,Jejeje... Entonces Tia ha sido derrotada. ¡Pero! ¡Tenemos<br>algo bajo la manga hoy!
