section,group,id,text
SelectWindow,0,text00,『エンドレスクエスト』【基本編】
SelectWindow,0,text10,『エンドレスクエスト』【応用編】
SelectWindow,0,text100,戻る
SelectWindow,1,text00,Misiones sin fin: conceptos basicos
SelectWindow,1,text10,Misiones sin fin: avanzadas
SelectWindow,1,text100,Atras
tut01,0,Title,『エンドレスクエスト』【基本編】
tut01,0,text0001,『エンドレスクエスト』はランダムに<br>出現するミッションをクリアし、<c f4a142>制限時間内に<br>ハイスコアを目指すクエスト<c>です。<br>スコアは以下の方法で獲得できます。<br>・『ミッションオーダー』の成功<br>・エネミーの撃破<br><br>制限時間は以下の方法で<br>増やす事ができます。<br>・『ミッションオーダー』の成功<br>・『インターバルエリア』への到達
tut01,0,text0002,『ミッションオーダー』は各ミッションごとに<br>課され、成功すると<c f4a142>スコアの獲得や<br>制限時間を増やす<c>ことができます。<br><br>制限時間を増やす事でより奥地まで<br>進むことができ、ハイスコアを狙えます。<br><br>クエスト終了時の報酬も豪華になるので<br>確実に成功させましょう。
tut01,0,text0003,『インターバルエリア』はクエスト中に<br>存在する休憩ポイントです。<br>このエリアにプレイヤーが到達した時点で<br><c f4a142>時間の経過が停止し、<br>制限時間が一定量増加<c>します。<br><br>また、ハーフドールの使用回数が回復し<br>ショップでのアイテム購入も可能です。<br>次のミッションに向けてアイテムを<br>補充しましょう。
tut01,0,text0004,ます<c>ので<br>協力して高いスコアの獲得を目指して下さい。<br><br>また、エンドレスクエストのハイスコアは<br>クエスト・難度・条件別に保存され<br>クエストカウンターから確認できます。
tut01,0,text0005,『スコアの種類』について説明します。<br><br>エンドレスクエストのハイスコアは<br>クエストカウンターから確認する事が出来ます。<br><br>また、『難度』と『条件』別にハイスコアは保存されます。
tut01,1,Title,Misiones sin fin: conceptos basicos
tut01,1,text0001,fully complete mission orders<br>Reach an Interval Zone
tut01,1,text0002,SDRA.
tut01,1,text0003,o tu proxima mision.
tut01,1,text0004,Puedes consultarlos en el mostrador de misiones.
tut01,1,text0005,nter.<br><br>High scores are saved separately by difficulty and conditions.
tut02,0,Title,『エンドレスクエスト』【応用編】
tut02,0,text0001,『ミッションオーダー』の種類について<br>説明します。<br><br><yellow>●加算型<c><br>目標を達成するごとに獲得時間が上昇します。<br><yellow>加算型例）エネミーを正面から倒せ！<c><br><c 00ff00>●減算型<c><br>目標を失敗するごとに獲得時間が減少します。<br><c 00ff00>減算型例）戦闘不能になるな！<c><br><c ff4f3f>●達成型<c><br>目標を達成すると時間が増加、失敗したら0の<br>ハイリスクハイリターンなオーダーです。<br><c ff4f3f>達成型例）60秒以内にエネミーを99体倒せ！<c>
tut02,0,text0002,<br><br><c 00ffff>サクセスバフ<c>はそのエリア中、有効です。<br><br><yellow>ミッションオーダーの達成率に応じて<br>発生確率が増える<c>ので<br>積極的にミッションオーダーの<br>達成を狙いましょう。
tut02,0,text0003,その周回中<c>続きます。
tut02,0,text0004,謰뤰댰ꈰ欰樰訰縰夰Ȱ0匀汥捥坴湩潤w
tut02,1,Title,Misiones sin fin: avanzadas
tut02,1,text0001,"me, <br>or fail and get nothing at all.<br><c ff4f3f>Example: Destroy 99 enemies within 60 seconds!<c>"
tut02,1,text0002,"frequently buffs occur,<c> making them <br>very much worth your while."
tut02,1,text0003,"various negative effects much like mission mishaps, <br>but <c ff4f3f>the effects persist throughout the entire round.<c>"
tut02,1,text0004,"Endless Quests save your high scores based on conditions.<br><br><yellow>Solo:<c><br>Your score when running the quest alone.<br><yellow>Duo:<c><br>Your score when running the quest with with two people total.<br><yellow>Trio:<c><br>Your score when running the quest with three people total.<br><yellow>Multi-Class Quartet:<c><br>When you form a multi-party with four people total, and each <br>player has a different class.<br><yellow>Free:<c><br>The highest score under all conditions."
