section,group,id,text
Basic,0,Title,シャオが遺した言葉
Basic,0,Explanation,***
Basic,0,StoryExplanation,＜主な登場キャラクター＞<br>　マトイ、サラ<br>＜場所＞<br>　アークスシップ　艦橋
Basic,1,Title,Las palabras de Xiao
Basic,1,StoryExplanation,[Aparecen personajes principales]<br>　Matoi y Sarah<br>[Ubicación]<br>　Barco AARK - Puente
QuestTarget,0,SimpleExplanation,***
QuestTarget,1,SimpleExplanation,***
AreaName,0,Area0S,????
AreaName,0,Area0L,????
AreaName,0,Area1S,????
AreaName,0,Area1L,????
AreaName,0,QuestInfoAreaName,????
AreaName,1,Area0S,???
AreaName,1,Area0L,???
AreaName,1,Area1S,???
AreaName,1,Area1L,???
AreaName,1,QuestInfoAreaName,???
