section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,¿?
CharaName,1,name02,¿?
ra_020510,0,ra_020510_0001,A.P.238/7/2
ra_020510,0,ra_020510_0010,はぁい。<br><%me>。<br>こっちの姿ではお久しぶり。
ra_020510,0,ra_020510_0020,今も今でお忍び中だから<br>あんまり派手な反応しないでね。
ra_020510,0,ra_020510_0030,それで、何かあたしに<br>聞きたそうな顔してるけど<br>どうしたの？
ra_020510,0,ra_020510_0040,ある情報を教えて欲しい？<br>あたしなら情報を持ってそう？
ra_020510,0,ra_020510_0050,ふふーん！<br>目の付け所がいいわね！<br>そう、お察しの通り！
ra_020510,0,ra_020510_0060,あたしぐらいのアイドルになるとね<br>情報がどんどん集まってくるのよ！<br>みんな勝手に話してくれるし！
ra_020510,0,ra_020510_0070,というか、情報や機密をつかむために<br>アイドルやってるようなものだしね！
ra_020510,0,ra_020510_0080,でもね、あたしは便利屋じゃないの。<br>始末屋なの、始末屋。わかる？<br>でもって今はアイドル状態なの。
ra_020510,0,ra_020510_0090,知ってたとしても、そう簡単に<br>教えるわけにはいかないでしょ？
ra_020510,0,ra_020510_0100,あっ……！<br>ちょ、ちょっと待ちなさいって！
ra_020510,0,ra_020510_0110,だ、だからといって<br>教えないとは言ってないわよ！<br>ほかでもない、あなたのお願いだし！
ra_020510,0,ra_020510_0120,この前、テミスが<br>強襲されたときの被害情報？<br>そんなの誰でも参照できるんじゃ……
ra_020510,0,ra_020510_0130,んーっと……あれ……？<br>六芒均衡の命令による情報封鎖？<br>しかも一って、レギアス？！
ra_020510,0,ra_020510_0140,な、なんでこの程度の情報の<br>機密レベルがこんなに高いのよ？
ra_020510,0,ra_020510_0150,むー……ダメだ！<br>こんなの、本人じゃないと<br>とても開けない！
ra_020510,0,ra_020510_0160,どーなってるのかな、こりゃ。<br>きなくさい感じがするね。
ra_020510,0,ra_020510_0170,ま、あなたが関わるのは<br>大概きなくさい事ばっかりか。
ra_020510,0,ra_020510_0180,情報封鎖をかけたのはレギアス。<br>今の情報について<br>わかったことは、それだけ。
ra_020510,0,ra_020510_0190,こっちでも調べてみるけど<br>レギアスに直接聞いた方が早いかもね。
ra_020510,0,ra_020510_0200,んー、今ならちょうど<br>ナベリウスの遺跡に出撃してるわね。<br>行ってみたらどう？
ra_020510,1,ra_020510_0001,AP 238/7/2
ra_020510,1,ra_020510_0010,"Hey, <%me>. <br>It's been a while since <br>you've seen me like this."
ra_020510,1,ra_020510_0020,"I'm undercover right now, <br>so don't do anything to draw attention."
ra_020510,1,ra_020510_0030,"Al parecer, tienes algo en mente. ¿Que es?"
ra_020510,1,ra_020510_0040,Quieres cierta informacion y crees que yo la tengo?
ra_020510,1,ra_020510_0050,"Ha ha! You came to the right place! Yep, your<br>guess was right on the money!"
ra_020510,1,ra_020510_0060,"Cuando se llega a ser tan famoso como yo, informacion de todo tipo fluye hacia uno desde todas partes. ¡Y cuando uno es un heroe, todos hablan sin miedo!"
ra_020510,1,ra_020510_0070,"En realidad, me converti en una estrella para obtener secretos y cosas asi."
ra_020510,1,ra_020510_0080,"Pero no soy un agente, sino un asesino. Entendido? Y actualmente estoy en el modo estrella."
ra_020510,1,ra_020510_0090,"Incluso si lo se, no pienso decir nada con tanta facilidad."
ra_020510,1,ra_020510_0100,¡E-oye...! ¡No acostarse!
ra_020510,1,ra_020510_0110,"I-I nunca dije que no te diria nada. ¿Y despues de todo, eres tu quien esta pidiendo?"
ra_020510,1,ra_020510_0120,Quieres saber sobre las victimas del ataque a Temis? Cualquiera puede buscar esa informacion.
ra_020510,1,ra_020510_0130,Wait... Huh? Se ha bloqueado la informacion por orden del Consejo de los Seis. ¡Y es Regius numero uno!
ra_020510,1,ra_020510_0140,¿Por que ponen un nivel de seguridad tan alto en una informacion tan normal?
ra_020510,1,ra_020510_0150,Urgh... No hay nada que hacer! Solo el que lo bloqueo puede desbloquearlo.
ra_020510,1,ra_020510_0160,¿Que esta pasando aqui? Esto parece sospechoso.
ra_020510,1,ra_020510_0170,"Aunque, supongo que todo con lo que te involucras es un poco sospechoso."
ra_020510,1,ra_020510_0180,Regius es quien bloqueo la informacion. ¡Eso es todo lo que puedo decir por ahora!
ra_020510,1,ra_020510_0190,"Tratare de buscar algo en mi lado, pero probablemente sea mas rapido preguntarle directamente a Regius."
ra_020510,1,ra_020510_0200,"Hmmm, creo que el esta actualmente en las ruinas de Naverius. ¿Por que no vas y ver?"
