section,group,id,text
CardSelect,0,CardSelect_Title,ビンゴカード選択
CardSelect,0,CardSelect_Cancel,戻る
CardSelect,0,CardSelect_None,ビンゴカードがありません
CardSelect,0,CardSelect_Set,このビンゴカードを進める
CardSelect,0,CardSelect_Detail,詳細を確認する
CardSelect,0,CardSelect_Decide,「$(0)」に変更しました。
CardSelect,0,CardSelect_Achieved,目標達成済みのマスをオープンしました。
CardSelect,0,CardSelect_GetNew,新しいアークスビンゴカードを取得しました。メインメニューからご確認下さい。
CardSelect,0,CardSelect_Ask,ビンゴカード「$(0)」を<br>進めますか？
CardSelect,0,CardDetail_Title,ビンゴカード詳細
CardSelect,0,CardDetail_Info,ビンゴカード情報
CardSelect,0,CardDetail_ExpirationDate,有効期限
CardSelect,0,CardDetail_Bingo,達成ビンゴ数
CardSelect,0,CardDetail_Reach,リーチライン数
CardSelect,0,CardDetail_gift,報酬
CardSelect,0,CardDetail_BingoTarget1,1 ビンゴ達成報酬
CardSelect,0,CardDetail_BingoTarget2,2 ビンゴ達成報酬
CardSelect,0,CardDetail_BingoTarget3,3 ビンゴ達成報酬
CardSelect,0,CardDetail_BingoTarget4,4 ビンゴ達成報酬
CardSelect,0,CardDetail_BingoTarget5,5 ビンゴ達成報酬
CardSelect,0,CardDetail_BingoTarget6,8 ビンゴ達成報酬
CardSelect,0,CardDetail_BingoTarget7,コンプリート報酬
CardSelect,0,CardDetail_Line1,1 ライン
CardSelect,0,CardDetail_Line2,2 ライン
CardSelect,0,CardDetail_Line3,3 ライン
CardSelect,0,CardDetail_Line4,4 ライン
CardSelect,0,CardDetail_Line5,5 ライン
CardSelect,0,CardDetail_Line6,6 ライン
CardSelect,0,CardDetail_Line7,7 ライン
CardSelect,0,CardDetail_Line8,8 ライン
CardSelect,0,CardDetail_Line9,9 ライン
CardSelect,0,CardDetail_Line10,10 ライン
CardSelect,0,CardDetail_Line11,11 ライン
CardSelect,0,CardDetail_Exp,経験値　$(0)
CardSelect,0,CardDetail_Meseta,$(0)
CardSelect,0,CardDetail_CountableItem,$(0)×$(1)
CardSelect,0,CardDetail_Line,$(0) ライン
CardSelect,0,CardDetail_Explanation,内容説明
CardSelect,0,CardNotice_Achieve,「$(0)」[$(1)-$(2)]を達成！！
CardSelect,0,CardNotice_Achieve2,ビンゴカードの[$(1)-$(2)]<yellow>$(0)<c>を達成！！
CardSelect,0,CardColumn_0,A
CardSelect,0,CardColumn_1,B
CardSelect,0,CardColumn_2,C
CardSelect,0,CardColumn_3,D
CardSelect,0,CardColumn_4,E
CardSelect,0,CardRow_0,1
CardSelect,0,CardRow_1,2
CardSelect,0,CardRow_2,3
CardSelect,0,CardRow_3,4
CardSelect,0,CardRow_4,5
CardSelect,1,CardSelect_Title,Select Bingo Card
CardSelect,1,CardSelect_Cancel,Back
CardSelect,1,CardSelect_None,No Bingo Card present
CardSelect,1,CardSelect_Set,Use this Bingo Card
CardSelect,1,CardSelect_Detail,View Details
CardSelect,1,CardSelect_Decide,Modified [$(0)].
CardSelect,1,CardSelect_Achieved,The check boxes for your completed objectives have been opened.
CardSelect,1,CardSelect_GetNew,You have acquired a new ARKS Bingo Card. You can view it from the Main Menu.
CardSelect,1,CardSelect_Ask,"Use the ""$(0)""<br>Bingo Card?"
CardSelect,1,CardDetail_Title,Bingo Card Details
CardSelect,1,CardDetail_Info,Bingo Card Information
CardSelect,1,CardDetail_ExpirationDate,Period of Validity
CardSelect,1,CardDetail_Bingo,Bingos Completed
CardSelect,1,CardDetail_Reach,Number of Reach Lines
CardSelect,1,CardDetail_gift,Rewards
CardSelect,1,CardDetail_BingoTarget1,1 Bingo Reward
CardSelect,1,CardDetail_BingoTarget2,2 Bingo Rewards
CardSelect,1,CardDetail_BingoTarget3,3 Bingo Rewards
CardSelect,1,CardDetail_BingoTarget4,4 Bingo Rewards
CardSelect,1,CardDetail_BingoTarget5,5 Bingo Rewards
CardSelect,1,CardDetail_BingoTarget6,8 Bingo Rewards
CardSelect,1,CardDetail_BingoTarget7,Completion Reward
CardSelect,1,CardDetail_Line1,1 Line
CardSelect,1,CardDetail_Line2,2 Lines
CardSelect,1,CardDetail_Line3,3 Lines
CardSelect,1,CardDetail_Line4,4 Lines
CardSelect,1,CardDetail_Line5,5 Lines
CardSelect,1,CardDetail_Line6,6 Lines
CardSelect,1,CardDetail_Line7,7 Lines
CardSelect,1,CardDetail_Line8,8 Lines
CardSelect,1,CardDetail_Line9,9 Lines
CardSelect,1,CardDetail_Line10,10 Lines
CardSelect,1,CardDetail_Line11,11 Lines
CardSelect,1,CardDetail_Exp,$(0) EXP
CardSelect,1,CardDetail_Meseta,$(0)
CardSelect,1,CardDetail_CountableItem,$(0) x$(1)
CardSelect,1,CardDetail_Line,$(0) lines
CardSelect,1,CardDetail_Explanation,Description
CardSelect,1,CardNotice_Achieve,"""$(0)"" [$(1)-$(2)] Completed!"
CardSelect,1,CardNotice_Achieve2,Bingo Card [$(1)-$(2)] <yellow>$(0)<c> Completed!
CardSelect,1,CardColumn_0,A
CardSelect,1,CardColumn_1,B
CardSelect,1,CardColumn_2,C
CardSelect,1,CardColumn_3,D
CardSelect,1,CardColumn_4,E
CardSelect,1,CardRow_0,1
CardSelect,1,CardRow_1,2
CardSelect,1,CardRow_2,3
CardSelect,1,CardRow_3,4
CardSelect,1,CardRow_4,5
BingoCard,0,BingoCard_Title,アークスビンゴカード
BingoCard,0,BingoCard_CardTab,ビンゴカード確認
BingoCard,0,BingoCard_GiftTab,ビンゴ達成報酬
BingoCard,0,BingoCard_OrderDetail,オーダー詳細
BingoCard,0,BingoCard_DetailsTitle,アイテム詳細
BingoCard,0,BingoCard_Target,目標：
BingoCard,0,BingoCard_Free,フリー枠です。
BingoCard,1,BingoCard_Title,ARKS Bingo Card
BingoCard,1,BingoCard_CardTab,View Bingo Card
BingoCard,1,BingoCard_GiftTab,Bingo Completion Reward
BingoCard,1,BingoCard_OrderDetail,Order Details
BingoCard,1,BingoCard_DetailsTitle,Item Details
BingoCard,1,BingoCard_Target,Objective:
BingoCard,1,BingoCard_Free,Free frame.
Title,0,Title01,1周年記念ビンゴ
Title,0,Title02,1周年記念ビンゴ【裏】
Title,0,Title03,1周年記念ビンゴ【炎】
Title,0,Title04,サマービンゴ
Title,0,Title05,ハロウィンビンゴ
Title,0,Title06,ハロウィンビンゴ【裏】
Title,0,Title07,クリスマスビンゴ
Title,0,Title08,クリスマスビンゴ【裏】
Title,0,Title09,アークス共闘祭2014ビンゴ
Title,0,Title10,アークス共闘祭2014ビンゴ【裏】
Title,0,Title100,バレンタイン2021ビンゴ【表】
Title,0,Title101,バレンタイン2021ビンゴ【裏】
Title,0,Title102,ホワイトデー2019ビンゴ【表】
Title,0,Title103,ホワイトデー2019ビンゴ【裏】
Title,0,Title104,イースター2019ビンゴ【表】
Title,0,Title105,イースター2019ビンゴ【裏】
Title,0,Title106,クリスマス2020ビンゴ【表】
Title,0,Title107,クリスマス2020ビンゴ【裏】
Title,0,Title108,イースター2020ビンゴ【表】
Title,0,Title109,イースター2020ビンゴ【裏】
Title,0,Title11,バレンタインビンゴ
Title,0,Title110,クリスマス2020ビンゴ【表】
Title,0,Title111,クリスマス2020ビンゴ【裏】
Title,0,Title12,バレンタインビンゴ【裏】
Title,0,Title13,スプリングビンゴ
Title,0,Title14,スプリングビンゴ【裏】
Title,0,Title15,2周年記念ビンゴⅠ
Title,0,Title16,2周年記念ビンゴⅠ【裏】
Title,0,Title17,2周年記念ビンゴⅡ
Title,0,Title18,2周年記念ビンゴⅡ【裏】
Title,0,Title19,お月見ビンゴ
Title,0,Title20,お月見ビンゴ【裏】
Title,0,Title21,ハロウィンビンゴ2014
Title,0,Title22,アークス式典ビンゴ
Title,0,Title23,クリスマス2014ビンゴ
Title,0,Title24,クリスマス2014ビンゴ【裏】
Title,0,Title25,アークス共闘祭2015ビンゴ
Title,0,Title26,バレンタイン2015ビンゴ
Title,0,Title27,バレンタイン2015ビンゴ【裏】
Title,0,Title28,アークス共闘祭2015ビンゴⅡ
Title,0,Title29,ホワイトデー2015ビンゴ
Title,0,Title30,ホワイトデー2015ビンゴ【裏】
Title,0,Title30001,雨風ビンゴ【表】
Title,0,Title30002,雨風ビンゴ【裏】
Title,0,Title30003,サマー2020ビンゴ【表】
Title,0,Title30004,サマー2020ビンゴ【裏】
Title,0,Title31,イースター2015ビンゴ
Title,0,Title32,イースター2015ビンゴ【裏】
Title,0,Title33,レイニー2015ビンゴ
Title,0,Title34,レイニー2015ビンゴ【裏】
Title,0,Title35,3周年記念ビンゴ
Title,0,Title36,3周年記念ビンゴ【裏】
Title,0,Title37,サマー2015ビンゴ
Title,0,Title38,サマー2015ビンゴ【裏】
Title,0,Title39,お月見2015ビンゴ
Title,0,Title40,お月見2015ビンゴ【裏】
Title,0,Title41,ハロウィン2015ビンゴ
Title,0,Title42,ハロウィン2015ビンゴ【裏】
Title,0,Title43,クリスマス2015ビンゴ
Title,0,Title44,クリスマス2015ビンゴ【裏】
Title,0,Title45,PS感謝祭2016ビンゴⅠ
Title,0,Title46,PS感謝祭2016ビンゴⅡ
Title,0,Title47,ホワイトデー2016ビンゴ
Title,0,Title48,ホワイトデー2016ビンゴ【裏】
Title,0,Title49,イースター2016ビンゴ
Title,0,Title50,イースター2016ビンゴ【裏】
Title,0,Title51,レイニー2016ビンゴ【表】
Title,0,Title52,レイニー2016ビンゴ【裏】
Title,0,Title53,4周年記念2016ビンゴⅠ
Title,0,Title54,4周年記念2016ビンゴⅡ
Title,0,Title55,サマー2016ビンゴ
Title,0,Title56,お月見2016ビンゴ【表】
Title,0,Title57,お月見2016ビンゴ【裏】
Title,0,Title58,ハロウィン2016ビンゴ【表】
Title,0,Title59,ハロウィン2016ビンゴ【裏】
Title,0,Title60,クリスマス2016ビンゴ【表】
Title,0,Title61,クリスマス2016ビンゴ【裏】
Title,0,Title62,バレンタイン2017ビンゴ【表】
Title,0,Title63,バレンタイン2017ビンゴ【裏】
Title,0,Title64,ホワイトデー2017ビンゴ【表】
Title,0,Title65,ホワイトデー2017ビンゴ【裏】
Title,0,Title66,スプリング2017ビンゴ【表】
Title,0,Title67,スプリング2017ビンゴ【裏】
Title,0,Title68,レイニー2017ビンゴ【表】
Title,0,Title69,レイニー2017ビンゴ【裏】
Title,0,Title70,七夕2017ビンゴ【表】
Title,0,Title71,七夕2017ビンゴ【裏】
Title,0,Title72,サマー2017ビンゴ【表】
Title,0,Title73,サマー2017ビンゴ【裏】
Title,0,Title74,お月見2017ビンゴ【表】
Title,0,Title75,お月見2017ビンゴ【裏】
Title,0,Title76,ハロウィン2017ビンゴ【表】
Title,0,Title77,ハロウィン2017ビンゴ【裏】
Title,0,Title78,クリスマス2017ビンゴ【表】
Title,0,Title79,クリスマス2017ビンゴ【裏】
Title,0,Title80,バレンタイン2018ビンゴ【表】
Title,0,Title81,バレンタイン2018ビンゴ【裏】
Title,0,Title82,ホワイトデー2018ビンゴ【表】
Title,0,Title83,ホワイトデー2018ビンゴ【裏】
Title,0,Title84,イースター2018ビンゴ【表】
Title,0,Title85,イースター2018ビンゴ【裏】
Title,0,Title86,レイニー2018ビンゴ【表】
Title,0,Title87,レイニー2018ビンゴ【裏】
Title,0,Title88,七夕2018ビンゴ【表】
Title,0,Title89,七夕2018ビンゴ【裏】
Title,0,Title90,サマー2018ビンゴ【表】
Title,0,Title91,サマー2018ビンゴ【裏】
Title,0,Title92,お月見2018ビンゴ【表】
Title,0,Title93,お月見2018ビンゴ【裏】
Title,0,Title94,ハロウィン2020ビンゴ【表】
Title,0,Title95,ハロウィン2020ビンゴ【裏】
Title,0,Title96,ウィンター2018ビンゴ【表】
Title,0,Title97,ウィンター2018ビンゴ【裏】
Title,0,Title98,クリスマス2018ビンゴ【表】
Title,0,Title99,クリスマス2018ビンゴ【裏】
Title,1,Title01,First Anniversary Bingo
Title,1,Title02,First Anniversary Bingo [Reverse]
Title,1,Title03,First Anniversary Bingo [Flame]
Title,1,Title04,Summer Bingo
Title,1,Title05,Halloween Bingo
Title,1,Title06,Halloween Bingo [Reverse]
Title,1,Title07,Christmas Bingo
Title,1,Title08,Christmas Bingo [Reverse]
Title,1,Title09,ARKS United Front Festival 2014 Bingo
Title,1,Title10,ARKS United Front Festival 2014 Bingo [Reverse]
Title,1,Title100,Valentine's Day 2021 Bingo [Front]
Title,1,Title101,Valentine's Day 2021 Bingo [Reverse]
Title,1,Title102,White Day 2019 Bingo [Front]
Title,1,Title103,White Day 2019 Bingo [Reverse]
Title,1,Title104,Easter 2019 Bingo [Front]
Title,1,Title105,Easter 2019 Bingo [Reverse]
Title,1,Title106,Christmas 2020 Bingo [Front]
Title,1,Title107,Christmas 2020 Bingo [Reverse]
Title,1,Title11,Valentine's Day Bingo
Title,1,Title12,Valentine's Day Bingo [Reverse]
Title,1,Title13,Spring Bingo
Title,1,Title14,Spring Bingo [Reverse]
Title,1,Title15,Second Anniversary Bingo I
Title,1,Title16,Second Anniversary Bingo I [Reverse]
Title,1,Title17,Second Anniversary Bingo II
Title,1,Title18,Second Anniversary Bingo II [Reverse]
Title,1,Title19,Moon-Gazing Festival Bingo
Title,1,Title20,Moon-Gazing Festival Bingo [Reverse]
Title,1,Title21,Halloween Bingo 2014
Title,1,Title22,ARKS Ceremonial Bingo
Title,1,Title23,Christmas 2014 Bingo
Title,1,Title24,Christmas 2014 Bingo [Reverse]
Title,1,Title25,ARKS United Front Festival 2015 Bingo
Title,1,Title26,Valentine's Day 2015 Bingo
Title,1,Title27,Valentine's Day 2015 Bingo [Reverse]
Title,1,Title28,ARKS United Front Festival 2015 Bingo II
Title,1,Title29,White Day 2015 Bingo
Title,1,Title30,White Day 2015 Bingo [Reverse]
Title,1,Title30001,Wind & Rain Bingo [Front]
Title,1,Title30002,Wind & Rain Bingo [Reverse]
Title,1,Title30003,Summer 2020 Bingo [Front]
Title,1,Title30004,Summer 2020 Bingo [Reverse]
Title,1,Title31,Easter 2015 Bingo
Title,1,Title32,Easter 2015 Bingo [Reverse]
Title,1,Title33,Rainy 2015 Bingo
Title,1,Title34,Rainy 2015 Bingo [Reverse]
Title,1,Title35,Third Anniversary Bingo
Title,1,Title36,Third Anniversary Bingo [Reverse]
Title,1,Title37,Summer 2015 Bingo
Title,1,Title38,Summer 2015 Bingo [Reverse]
Title,1,Title39,Moon-Gazing Festival 2015 Bingo
Title,1,Title40,Moon-Gazing Festival 2015 Bingo [Reverse]
Title,1,Title41,Halloween 2015 Bingo
Title,1,Title42,Halloween 2015 Bingo [Reverse]
