section,group,id,text
ChallengeSet,0,ChallengeSet,クラスセット
ChallengeSet,0,ChallengeSet_contents,クラスセット内容
ChallengeSet,0,ChallengeSet_ability,クラスセット説明（決定でクラススキルなど詳細を確認）
ChallengeSet,0,ChallengeSet_ability_list,クラススキル・PA・テクニック一覧
ChallengeSet,0,ChallengeSet_select,クラスセット選択
ChallengeSet,0,ChallengeSet_confirm,クラスセット確認
ChallengeSet,0,ChallengeSet_message,「$(0)」の内容で、<br>装備、クラススキルなどを変更します。<br><br>よろしいですか？
ChallengeSet,0,ChallengeSet_nouse,クエストが開始されたため、<br>クラスセットは変更できません。
ChallengeSet,0,ChallengeSet_Help,<c f0df60>クラスセットを選択できます<c>
ChallengeSet,0,ChallengeSet_Toast,クラスセット「$(0)」を適用しました
ChallengeSet,0,MySetClassSetNone,クラスがセットされていません
ChallengeSet,0,MySetEquipSetNone,装備品がセットされていません
ChallengeSet,0,MySetPreSetNone,プリセットがありません
ChallengeSet,0,StatusLabelLevel,Lv.
ChallengeSet,0,NoClassSkillMessage,クラススキルがありません
ChallengeSet,0,NoPaMessage,フォトンアーツがありません
ChallengeSet,0,NoTechnicMessage,テクニックがありません
ChallengeSet,0,MySetClassNone,クラスが選択されていません
ChallengeSet,0,MySetItemNone,アイテムが選択されていません
ChallengeSet,0,Title,クラス詳細
ChallengeSet,0,ItemDetailTitle,アイテム詳細
ChallengeSet,0,Class,クラス
ChallengeSet,0,Error,マイセットエラー
ChallengeSet,0,EquipError,装備変更できませんでした。
ChallengeSet,0,ListError,マイセットを取得できませんでした。
ChallengeSet,0,QuestStartError,すでにクエストは開始しています。
ChallengeSet,0,MenuError,マイセットがありません
ChallengeSet,0,ClassSet_Hunter,ハンタータイプ
ChallengeSet,0,ClassSet_Ranger,レンジャータイプ
ChallengeSet,0,ClassSet_Force,フォースタイプ
ChallengeSet,0,ClassSet_Braver,ブレイバータイプ
ChallengeSet,0,ClassSet_Bouncer,バウンサータイプ
ChallengeSet,0,SkillTree_Hu,Huタイプ
ChallengeSet,0,Preset_Hu,<yellow>ハンター、ファイター<c>を組み合わせたクラスセット。<br>使用可能な武器数が多く、耐久力に優れる打撃タイプ。
ChallengeSet,0,Preset_Ra,<yellow>レンジャー、ガンナー<c>を組み合わせたクラスセット。<br>特殊弾、トラップによる支援を得意とする射撃タイプ。
ChallengeSet,0,Preset_Fo,<yellow>フォース、テクター<c>を組み合わせたクラスセット。<br>全属性の攻撃、補助テクニックを駆使する法撃タイプ。
ChallengeSet,0,Preset_Br,<yellow>ブレイバー、ハンター<c>を組み合わせたクラスセット。<br>距離を問わない戦闘が可能なバランスタイプ。
ChallengeSet,0,Preset_Bo,<yellow>バウンサー、ハンター<c>を組み合わせたクラスセット。<br>空中戦、機動力に秀でるバランスタイプ。
ChallengeSet,0,ClassSet_CH3_Fi,<c ffc000>アタック<c>：ファイター
ChallengeSet,0,ClassSet_CH3_Gu,<c ffc000>アタック<c>：ガンナー
ChallengeSet,0,ClassSet_CH3_Br,<c ffc000>アタック<c>：ブレイバー
ChallengeSet,0,ClassSet_CH3_Hu,<c 00ffff>ラッシュ<c>：ハンター
ChallengeSet,0,ClassSet_CH3_Ra,<c 00ffff>ラッシュ<c>：レンジャー
ChallengeSet,0,ClassSet_CH3_Bo,<c 00ffff>ラッシュ<c>：バウンサー
ChallengeSet,0,ClassSet_CH3_Fo,<green>サポート<c>：フォース
ChallengeSet,0,ClassSet_CH3_Te,<green>サポート<c>：テクター
ChallengeSet,0,ClassSet_CH3_Hr,<yellow>ユニーク<c>：ヒーロー
ChallengeSet,0,ClassSet_CH3_Ph,<yellow>ユニーク<c>：ファントム
ChallengeSet,0,ClassSet_CH3_Et,<yellow>ユニーク<c>：エトワール
ChallengeSet,0,ClassSet_CH3_Lu,<yellow>ユニーク<c>：ラスター
ChallengeSet,0,Preset_CH3_Fi,正面から戦う<yellow>ファイター型<c>。ＨＰ低下や<br>状態異常など逆境で強化される。
ChallengeSet,0,Preset_CH3_Gu,チェイントリガーを駆使し瞬間的に<br>大ダメージを与えられる<yellow>ガンナー型<c>。
ChallengeSet,0,Preset_CH3_Br,カタナスキルの無敵と遠距離射撃により<br>攻撃を与え続ける<yellow>ブレイバー型<c>。
ChallengeSet,0,Preset_CH3_Hu,防御に優れた<yellow>ハンター型<c>。２段ジャンプ<br>解式ＰＡ使用可。解式ゲージ増加率高。
ChallengeSet,0,Preset_CH3_Ra,ウィークバレットを持つ<yellow>レンジャー型<c>。<br>２段ジャンプ、解式ＰＡ使用可。
ChallengeSet,0,Preset_CH3_Bo,クリティカル補助を持つ<yellow>バウンサー型<c>。<br>２段ジャンプ、解式ＰＡ使用可。
ChallengeSet,0,Preset_CH3_Fo,シフタと状態異常を扱う<yellow>フォース型<c>。<br>複合テク使用可、レスタ回復力高。
ChallengeSet,0,Preset_CH3_Te,デバンドなどパーティー支援が強力な<br><yellow>テクター型<c>。複合テク、レスタ使用可。
ChallengeSet,0,Preset_CH3_Hr,多彩な攻撃とカウンターで戦うクラス。<br>大剣、双機銃、導具を装備可。
ChallengeSet,0,Preset_CH3_Ph,ジェルンで攻撃力低下を狙えるクラス。<br>長銃、抜剣、長杖を装備可。
ChallengeSet,0,Preset_CH3_Et,堅牢で、味方をＰＰ支援し戦うクラス。<br>両剣、飛翔剣、短杖を装備可。
ChallengeSet,0,Preset_CH3_Lu,銃剣を駆使した高速戦闘を<br>得意とするクラス。銃剣のみ装備可。
ChallengeSet,1,ChallengeSet,Conjunto de clases
ChallengeSet,1,ChallengeSet_contents,Detalles del conjunto de clases
ChallengeSet,1,ChallengeSet_ability,"Descripcion del conjunto de clases (presione OK para ver detalles de habilidades de clase, etc.)"
ChallengeSet,1,ChallengeSet_ability_list,Lista de habilidades de clase / Artes Foton / Tecnicas
ChallengeSet,1,ChallengeSet_select,Seleccionar conjunto de clase
ChallengeSet,1,ChallengeSet_confirm,Confirmar conjunto de clase
ChallengeSet,1,ChallengeSet_message,"""$(0)""<br>cambiara su equipo, habilidades de clase, etc.<br><br>¿Esta seguro?"
ChallengeSet,1,ChallengeSet_nouse,No puede cambiar su conjunto de clase<br>ya que la mision ha comenzado.
ChallengeSet,1,ChallengeSet_Help,<c f0df60>Puede seleccionar un conjunto de clase.<c>
ChallengeSet,1,ChallengeSet_Toast,"Ha aplicado el conjunto de clase ""$(0)."""
ChallengeSet,1,MySetClassSetNone,No se ha establecido ninguna clase.
ChallengeSet,1,MySetEquipSetNone,No se ha establecido ningun equipo.
ChallengeSet,1,MySetPreSetNone,No hay preset.
ChallengeSet,1,StatusLabelLevel,Lv.
ChallengeSet,1,NoClassSkillMessage,No hay habilidades de clase disponibles.
