section,group,id,text
title,0,name,フレンドリストについて
title,1,name,lista de amigos
mess,0,text01,<yellow>【Xbox Liveのフレンドについて】<c><br><br>　Xbox Liveでのフレンド一覧が表示される機能です。<br>　選択するソートによって表示するフレンド情報を変更できます。<br>　<br>　「PSO2に招待する」を選ぶと、PSO2をプレイしていない<br>　Xbox LiveにオンラインのフレンドをPSO2へ招待できます。<br>　<br>　フレンド申請を行う場合は、キャラクター選択時に表示される<br>　「ゲーマーカードを見る」から確認してください。
mess,0,text02,<yellow>【フレンドリストについて】<c><br><br>　仲良くなった他のプレイヤーと「フレンド」関係になることで、<br>　この画面から、いまオンラインかどうかを確認したり、<br>　メールを送ったり、相手のマイルームに移動したりできます。<br><br>　【フレンドになって欲しい場合】<br>　　・「周囲のキャラクター」機能から相手の名前を選び、<br>　　　「フレンド登録を申し込む」を選択してください。<br><br>　【フレンド登録を申し込まれたら？】<br>　　・この画面のリストから、相手を選んで許可（拒否）できます。
mess,0,text03,<yellow>【フレンド関係の解除について】<c><br><br>　この画面のリストで相手の名前を選択し、<br>　「フレンド登録解除」をすることができます。<br><br>　フレンド関係を解除しても、相手には通知されず、<br>　相手側のフレンドリストには自分が残ったままとなります。<br><br>　フレンド関係を解除した相手であっても、<br>　ふたたびフレンド関係になることができます。
mess,0,text04,<yellow>【PSO2ブロックリストについて】<c><br><br>　「周囲のキャラクター」機能から相手の名前を選び、<br>　「PSO2ブロックリストに登録（解除）」を選択すると、<br>　相手をPSO2ブロックリストに登録（解除）できます。<br><br>　PSO2ブロックリストに登録すると、その相手からのパーティー招待や<br>　フレンド登録申し込みが、自動的に遮断されます。<br><br>　【オンラインマニュアル説明ページURL】<br>　<&URL pso2_players_manual_communication_friend>
mess,1,text01,"<yellow>[Xbox Live]<c><br><br>This function displays a list of Friends from Xbox Live.<br>You can change the Friend information displayed by changing the<br>selected sorting method.<br><br>If you have Xbox Live Friends who do not play PSO2, you can invite<br>them to the game by selecting [Invite to PSO2] when they are online.<br><br>When you want to issue a Friend Request, you can check the [View Gamer Card]<br>option displayed during character selection."
mess,1,text02,
mess,1,text03,"Seguiremos siendo<br>amigos nuevamente, si así lo deseas."
mess,1,text04,
