section,group,id,text
Event1,0,name01,アスタルテ
Event1,0,11_voice_shop_410,こんにちは。<br>私がアークスの基礎教導担当官の<br>アスタルテです。
Event1,0,text02,実践型教導プログラム<br>「アークスロード」の<br>担当をしております。
Event1,0,text03,アークスとしての基礎知識を提供する<br>実践型教導プログラム……<br>それが「アークスロード」です。
Event1,0,text04,アークスとしての活動に<br>まだ慣れていない方々には、是非<br>取り組んで頂きたいプログラムです。
Event1,0,text05,仕組みについては、見ていただいた方が<br>理解が早いかと思います。<br>まずは、これをお受け取り下さい。
Event1,0,text06,このスタンプカードを埋めていくことで<br>自然とアークスとしての知識が<br>身についていく、という形になります。
Event1,0,text07,貴方の場合は、すでに終了している<br>目標がいくつかあるようです。<br>あらかじめ、押印させていただきます。
Event1,0,text08,もし未経験の目標などがありましたら<br>是非やってみてください。
Event1,0,text09,基礎的な知識が案外抜けていた<br>というのは、しばしばあることです。<br>再確認にもうってつけでしょう。
Event1,0,text10,もし、目標内容などに不明な点が<br>ありましたら、私に直接お問い合わせ<br>いただけると助かります。
Skit,0,text00,『アークスロード』について
Skit,0,text01,>アークスとしての基礎知識を身につけることが出来ます。<br>カード1枚ごとに報酬もあります。<br>頑張ってスタンプを集めましょう。<br><br>※既に達成されている目標は<br>自動的にスタンプが押されていきます。
Skit,0,text02,ったら<br>ナビアイコンに従って進むことで<br>目的地に辿り着くことが出来ます。<br><br>表示を消したい場合、<br>オプションから非表示にする事も可能です。
Skit,0,text03,現在の目標について<br>アスタルテに話を聞くことも出来ます。<br>進め方などが分からなくなったら尋ねてみましょう。<br><br>アスタルテはゲートエリア・中央ホールにいます。
