section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,? ? ?
CharaName,1,name02,? ? ?
CharaName,0,un_015150_0010,歌って踊って、みんなの願いを叶えよう！<br>レアドロ☆KOI☆恋！
CharaName,0,un_015150_0040,アークスのみんな、準備はオッケー？
CharaName,0,un_015150_0070,ミツヨシさん、最高の歌ありがとうございまーす！<br>僕たちも続けていきますよー！
CharaName,0,un_015150_0030,みんな～ありがとう！<br>と～ても、楽しかった！
CharaName,0,un_015150_0060,これでみんなにも<br>輝く虹がきっと見えるはず！
CharaName,0,un_015150_0090,よーし、僕も張り切って、レアドロ掘りにいくか！<br>アークスのみんな、次はフィールドで会おう！！
CharaName,0,bd_010020_0010,R・A・R・E・D・R・O・P
CharaName,0,bd_010020_0020,レアドロ☆KOI☆恋！
CharaName,0,bd_010020_0030,Yeah!!!
CharaName,0,bd_010020_0040,おどれ！おどれ！　はずむリズムにうかされて<br>(ソレソレソレ)
CharaName,0,bd_010020_0050,おどれ！おどれ！　熱いビートに身体をまかせて<br>(Let's Dance)
CharaName,0,bd_010020_0060,おどれ！おどれ！　はずかしくなんかないんだぜ<br>(ソレソレソレ)
CharaName,0,bd_010020_0070,おどれ！おどれ！　お祭りだよ！<br>(ハーイハーイ High！High！High！High！)
CharaName,0,bd_010020_0080,ラッピー☆　みんなで強く
CharaName,0,bd_010020_0090,Lucky☆　想えば叶う
CharaName,0,bd_010020_0100,このバイブスがフォトンを刺激するよ
CharaName,0,bd_010020_0110,Phantasy Star！Star！　レアドロ☆KOI☆恋！
CharaName,0,bd_010020_0120,ズラリとならぶ☆達　もっと
CharaName,0,bd_010020_0130,Star！Star！　レアドロ☆KOI☆恋！
CharaName,0,bd_010020_0140,見てみたいGETしたい！
CharaName,0,bd_010020_0150,Phantasy Star！Star！　レアドロ☆KOI☆恋！
CharaName,0,bd_010020_0160,そう、僕達の願いは　きっと
CharaName,0,bd_010020_0170,Star！Star！　レアドロ☆KOI☆恋！
CharaName,0,bd_010020_0180,「輝く虹を見せて……PSO2！」
CharaName,0,bd_010020_0190,おどれ！おどれ！　巡るミラクルオラクルに<br>(ソレソレソレ)
CharaName,0,bd_010020_0200,おどれ！おどれ！　キセキを起こすパワーを付与えて！<br>(Get Down)
