section,group,id,text
CharaName,0,name01,マトイ
CharaName,1,name01,matoi
CharaName,0,skit01,/ci1 1 ふふ、信用してもらえないようだね。<br>ま、それもやむなしか。
CharaName,0,skit02,/ci1 1 こちらは君達が選んだ道だ。<br>立ちはだかる障害も、責任持って<br>君達の手で撃破したまえ。
CharaName,1,skit01,"/ci1 1 Je, pareces reacio a confiar en mí.<br>Por otra parte, no puedo culparte."
CharaName,1,skit02,por tu elección y<br>destruye todo lo que se interponga en tu camino.
CharaName,0,skit01,ふふ、信用してもらえないようだね。<br>ま、それもやむなしか。
CharaName,0,skit02,こちらは君達が選んだ道だ。<br>立ちはだかる障害も、責任持って<br>君達の手で撃破したまえ。
CharaName,1,skit01,"Je, pareces reacio a confiar en mí.<br>Por otra parte, no puedo culparte."
CharaName,1,skit02,Ustedes eligieron esta ruta por sí mismos. Asume<br>la responsabilidad de tu elección y destruye<br>todo lo que se interponga en tu camino.
