section,group,id,text
Skit,0,name01,シエラ
Skit,0,text01,<%me>さん！<br>もう、エンガさんには<br>お会いになったみたいですね。
Skit,0,text02,バレンタインに続いて<br>ホワイトデーはエンガさんを<br>ご招待したんですが……
Skit,0,text03,会場付近にエネミーが向かっていて<br>危険なので、また今度とお伝えしたら<br>「オレも討伐隊に参加する」と……
Skit,0,text04,すみませんが、せっかくご招待した<br>エンガさんがお怪我されないように<br>サポートをお願い
Skit,1,name01,Xiera
Skit,1,text01,<%me>!<br>Parece que ya conoces a Enga.
Skit,1,text02,"Después del Día de San Valentín, envié una invitación<br>a Enga para el Día Blanco..."
Skit,1,text03,"r>todo, ella dijo que no hay problema,<br>""Seré parte del equipo de supresión..."""
Skit,1,text04,爀㸀栀甀爀琀㼀 匀椀渀挀攀 䤀✀洀 琀栀攀 漀渀攀 眀栀漀 椀渀瘀椀琀攀搀 栀椀洀Ⰰ 㰀戀爀㸀䤀✀搀 昀攀攀氀 樀甀猀琀 愀眀昀甀氀 椀昀 愀渀礀琀栀椀渀最 栀愀瀀瀀攀渀攀搀⸀
