section,group,id,text
,0,Begin,/ci2 2 光＆闇の希望の戦士、参上っ！！<br>大変だ！　宇宙の希望が大ピンチ！<br>さぁ、リーダーの出番だよっ！！
,0,Success,/ci2 1 やったねリーダー、希望は守られたよ！<br>だが、希望の戦士たちの戦いは続く……<br>宇宙に助けを求めるヒトがいる限りっ！
,0,Failure,これは戦略的撤退！<br>希望の戦士たちは諦めないっ！！<br>人々が希望を諦めない限り……！
,0,Dead,ボクがいなくなっても……<br>希望は、リーダーが守ってくれるさ……
,0,BuddyDead,闇があるから、光は輝きを増す……<br>キミの想いを胸に<br>ボクは輝いてみせるっ！！
,1,Begin,¡Muy bueno para el universo!<br>¡Es hora de que nuestro líder tome una postura!
,1,Success,para nosotros guerreros de la esperanza...<br>¡Mientras todavía haya personas que proteger!
,1,Failure,¡Ríndete!<br>¡No si la esperanza todavía arde en el corazón de la gente!
,1,Dead,Incluso si cayera...<br>La esperanza aún vive en nuestro líder...
,1,BuddyDead,La luz siempre brillará a través de la oscuridad...<br>¡Así como tu recuerdo brillará dentro de nuestros<br>corazones!
common,0,Begin,開始5150
common,0,Success,成功5150
common,0,Failure,失敗5150
common,0,Dead,自分死亡5150
common,0,BuddyDead,相手死亡5150
common,0,Evolution,発展5150
common,1,Begin,Empezar5150
common,1,Success,Éxito5150
common,1,Failure,Fracaso5150
common,1,Dead,ustedmurió5150
common,1,BuddyDead,SocioMurió5150
common,1,Evolution,Evolución5150
