section,group,id,text
Event1,0,name01,アスタルテ
Event1,0,text01,全問題の正解を確認しました。<br>これで基本的な知識の確認は完了です。
Event1,0,text02,アスタルテから『グレイテイル』を受け取りました。
Event1,0,text03,こちら、些細なものとなりますが<br>全問題正解の報酬となります。<br>お受け取り下さい。
Event1,0,text04,もしまだ知識に不安があるようでしたら<br>何度でも、問題に挑戦してください。<br>報酬はないですが、言葉
Event1,1,name01,Astarté
Event1,1,text01,Puedo confirmar que respondiste todas las preguntas<br>correctas. La confirmación del conocimiento básico<br>competencia ahora está completa.
Event1,1,text02,Recibiste Cola Gris de Astarte.
Event1,1,text03,"No es mucho, pero aquí tienes tu<br>recompensa por responder correctamente todas las preguntas.<br>Por favor tómalo."
Event1,1,text04,渀漀 洀漀爀攀 洀愀琀攀爀椀愀氀 㰀戀爀㸀爀攀眀愀爀搀猀Ⰰ 戀甀琀 礀漀甀✀氀氀 最攀琀 琀栀攀 樀漀礀 漀昀 氀攀愀爀渀椀渀最⸀
