section,group,id,text
Required,0,Title,連破訓練・3-Ⅴ
Required,0,Summary,アークス上級訓練教官ロナルディンから、<br>経験を積むために、<br>ボスエネミーの討伐を勧められる。<br><br><yellow>※推奨セクション：<br>　リテム・エルノザ（Rank.2以上）<c>
Required,1,Title,Entrenamiento implacable 3-V
Required,1,Summary,椀渀㰀戀爀㸀猀漀洀攀 攀砀瀀攀爀椀攀渀挀攀⸀㰀戀爀㸀㰀戀爀㸀㰀礀攀氀氀漀眀㸀刀攀挀漀洀洀攀渀搀攀搀 猀攀挀琀漀爀㨀 刀攀琀攀洀 䄀氀渀漀琀栀攀㰀戀爀㸀⠀刀愀渀欀 ㈀ 漀爀 䜀爀攀愀琀攀爀⤀㰀挀㸀
SubObjectives,0,text0101,サンドナグルス（Lv.30以上）を倒す
SubObjectives,0,text0102,フォートス・ランチャー（Lv.30以上）を倒す
SubObjectives,0,text0103,バブルクラッブ（Lv.30以上）を倒す
SubObjectives,0,text0104,サヴァキュリオ（Lv.30以上）を倒す
SubObjectives,1,text0101,Derrota a Sand Nogleths (nivel 30 o superior)
SubObjectives,1,text0102,Derrota a los lanzadores Fortos (nivel 30 o superior)
SubObjectives,1,text0103,Derrota a los cangrejos burbuja (nivel 30 o superior)
SubObjectives,1,text0104,Derrota a Svacurios (nivel 30 o superior)
