section,group,id,text
TutorialText,0,Title,このクエストについて
TutorialText,0,text0001,して<br>ハイスコアを目指すクエスト<c>だ！<br><br><yellow>エネミーは全て雷弱点が付いてる<c>から<br>雷属性が有効だぞ！　上手く活用してくれ！
TutorialText,0,text0002,設定されていて、達成することで<br><yellow>スコアの上昇倍率がアップ<c>するぞ！<br><br>クエストが進むにつれて<br>トライアルオーダーの難易度も上がるから<br>みんなで協力して達成しよう！
TutorialText,0,text0003,<url http://pso2.jp/players/update/20171108/02/>
TutorialText,0,text0004,指すんだ！<br><red>※戦闘不能のプレイヤーも<br>クエスト終了時に復活します<c><br><br>クエストの説明はこれでおしまい！<br>みんなの成功を祈っているよ！
TutorialText,1,Title,About This Quest
TutorialText,1,text0001,most electrifying assets!
TutorialText,1,text0002,漀最爀攀猀猀攀猀Ⰰ 猀漀 眀漀爀欀 琀漀最攀琀栀攀爀 琀漀 挀愀爀爀礀 琀栀攀洀 漀甀琀℀
TutorialText,1,text0003,琀愀椀氀猀 漀渀 愀瀀瀀氀椀挀愀戀氀攀 漀甀琀昀椀琀猀Ⰰ 瘀椀猀椀琀 琀栀攀 昀漀氀氀漀眀椀渀最 倀氀愀礀攀爀✀猀 匀椀琀攀㨀㰀挀㸀㰀戀爀㸀㰀甀爀氀 栀琀琀瀀㨀⼀⼀瀀猀漀㈀⸀樀瀀⼀瀀氀愀礀攀爀猀⼀甀瀀搀愀琀攀⼀㈀　㄀㜀㄀㄀　㠀⼀　㈀⼀㸀
TutorialText,1,text0004,漀瘀攀爀瘀椀攀眀℀ 䤀✀氀氀 欀攀攀瀀 洀礀 瀀愀眀猀 挀爀漀猀猀攀搀 昀漀爀 愀氀氀 漀昀 礀漀甀℀
