section,group,id,text
CharaName,0,name01,？？？
CharaName,1,name01,¿?
CharaName,0,st_010005_0010,新たに誕生する「アークス」よ。
CharaName,0,st_010005_0020,今から諸君は、広大な宇宙へと第一歩を踏み出す。
CharaName,0,st_010005_0030,覚悟を決め、各々のパーソナルデータを入力せよ。
CharaName,0,st_010005_0040,我々は、諸君を歓迎する。
CharaName,1,st_010005_0010,"Saludos reclutas de ARKS, lo habéis hecho bien."
CharaName,1,st_010005_0020,Ahora estás preparado para dar tus primeros pasos hacia la vasta frontera del espacio.
CharaName,1,st_010005_0030,"Si estás preparado para afrontar el desafío de lo desconocido, introduce tus datos personales."
CharaName,1,st_010005_0040,"Entonces, de parte de todos nosotros, bienvenido a bordo."
