section,group,id,text
,0,11_voice_NPC_5215_111,どの項目が知りたいのかな？
,0,text01,『リーリールーレット』って？
,0,text02,『リーリールーレット』の遊び方（基本編）
,0,text03,『リーリールーレット』の遊び方（応用編）
,0,text04,この場を離れる
,1,11_voice_NPC_5215_111,What do you have a question about?
,1,text01,What is Lilli Roulette?
,1,text02,How to Play Lilli Roulette (Basics)
,1,text03,How to Play Lilli Roulette (Practical)
,1,text04,Leave
,0,text00,『リーリールーレット』について
,0,text01,レットの盤面上部にある針が<br>停止する図柄を予測し、ＢＥＴを行います。<br>ＢＥＴした箇所が当たっていれば<br>ＢＥＴ額に応じた配当を得ることができます。
,0,text02,昰䐰䴰縰夰Ȱ㰰戀爀㸀㰀戀爀㸀䴀厑潟ᄰ橜䐰儰椰匰彟訰萰夰䐰㰰爀攀搀㸀ఀ爰ං㰰挀㸀䬀㰰戀爀㸀
,1,text00,Lilli Roulette
,1,text01,"er is going to stop and place your bets. <br>If your bet is right, you'll get a payout in relation to how much you bet."
,1,text02,氀 椀渀 眀椀琀栀 㰀爀攀搀㸀挀漀氀漀爀 愀渀搀 渀甀洀戀攀爀 挀漀洀戀漀㰀挀㸀Ⰰ 漀爀 挀栀漀漀猀攀 琀栀攀 洀椀搀搀氀攀 爀漀愀搀 漀昀 㰀爀攀搀㸀渀甀洀戀攀爀⸀㰀挀㸀
,0,text00,『リーリールーレット』の遊び方(基本編)について
,0,text01,>アクセスをすることでＢＥＴが行えます。<br><br>ＢＥＴ受付中は、ルーレットの盤面が<br>白く光り、カウントダウンを行います。
,0,text02,『ＢＥＴ方法』<br><br>床に描かれたマスにアクセスすると<br>ＢＥＴするカジノコインの額を設定できます。<br><br>カジノコインは、１ゲーム毎に清算されます。
,0,text03,挀㸀渀ꬰ렰츰댰ꐰ鈰䴰厑桟地昰㰰戀爀㸀휀兓혰譓匰栰䰰朰䴰縰夰Ȱ㰰戀爀㸀㰀戀爀㸀搀ᆍ䯿褰搰ᖍǿ到ᆗ䯿褰到ᖗǿ터ᅽ䯿褰터ᕽ毿㰰戀爀㸀∀◿㓿鋿地İ萰⵶坎弰㐰ࡘ潔∰◿㓿䷿溘㰰戀爀㸀㰀爀攀搀㸀ᄀᗿ෿㱐挀㸀渀ꬰ렰츰댰ꐰ鈰䴰厑桟地昰㰰戀爀㸀휀兓혰譓匰栰䰰朰䴰縰夰Ȱ0฀∰◿㓿滿혰詓蠰坭༰㰰戀爀㸀㰀戀爀㸀∀◿㓿鋿혰詓蠰坭弰䐰㐰ࡘ潔㰰戀爀㸀言歞켰䭣谰弰�뤰欰ꈰ꼰묰뤰地㰰戀爀㸀ఀ∰◿㓿滿혰詓蠰坭ര鈰砰麐坢縰夰Ȱ㰰戀爀㸀㰀戀爀㸀㰀爀攀搀㸀㬀∠◿㓿퟿�䉎虽豎潟ర∰◿㓿滿혰詓蠰坭ര漰㰰戀爀㸀
,0,text04,『ＢＥＴの取り消し』<br><br>ＢＥＴを取り消したい場合は<br>床に描かれたマスにアクセスし<br>「ＢＥＴの取り消し」を選択します。<br><br><red>※ＢＥＴ受付終了後は「ＢＥＴの取り消し」は<br>　できません。<c>
,0,text05,縰夰Ȱ㰰戀爀㸀∀◿㓿퟿�䉎虽豎歟꠰ꈰאּ핹坒弰㐰ࡘ潔㰰戀爀㸀倀鱽歧�塟昰ꬰ렰츰댰ꐰ䰰霰᭘坮縰夰Ȱ㰰戀爀㸀㰀戀爀㸀㰀爀攀搀㸀㬀ﰰﰰﰰ쌰젰欰∰◿㓿賿歟漰İ㰰戀爀㸀
,1,text00,How to Play Lilli Roulette (Basics)
