section,group,id,text
BubbleMessage,0,Q0,元気にしてる？
BubbleMessage,0,HELLO,元気にしてる？
BubbleMessage,0,HELLO_FAV4,えへへっ！　会えてうれしいな！
BubbleMessage,0,HELLO_FAV3,今日はラッキーかも！
BubbleMessage,0,HELLO_FAV2,元気にしてる？
BubbleMessage,0,HELLO_FAV1,あ、どうも……
BubbleMessage,0,HELLO_FAV0,わたしに何か用ですか？
BubbleMessage,0,GOODBYE,バイバーイ！　またね！
BubbleMessage,0,GOODBYE_FAV4,もっと一緒にいたいのになぁ！
BubbleMessage,0,GOODBYE_FAV3,すぐ会えるよね？
BubbleMessage,0,GOODBYE_FAV2,バイバーイ！　またね！
BubbleMessage,0,GOODBYE_FAV1,それじゃ。
BubbleMessage,0,GOODBYE_FAV0,あ……はい。
BubbleMessage,1,Q0,How's it going?
BubbleMessage,1,HELLO,How's it going?
BubbleMessage,1,HELLO_FAV4,Ha ha! What a surprise!
BubbleMessage,1,HELLO_FAV3,This is my lucky day!
BubbleMessage,1,HELLO_FAV2,How's it going?
BubbleMessage,1,HELLO_FAV1,"Oh, hey."
BubbleMessage,1,HELLO_FAV0,What can I help you with?
BubbleMessage,1,GOODBYE,"Bye, now! See you soon!"
BubbleMessage,1,GOODBYE_FAV4,"Aw, I was hoping you'd stick around!"
BubbleMessage,1,GOODBYE_FAV3,"Come back soon, okay?"
BubbleMessage,1,GOODBYE_FAV2,"Bye, now! See you soon!"
BubbleMessage,1,GOODBYE_FAV1,Later.
BubbleMessage,1,GOODBYE_FAV0,"Yeah, yeah..."
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Option 1
Choices,1,00_02,Option 2
Choices,1,TALK_ST,Talk
Choices,1,C_ORDER_ST,Listen
