section,group,id,text
Name,0,NAME,ビア
Name,0,NICKNAME,スキルカウンター係員
Name,1,NAME,Bhea
Name,1,NICKNAME,Skill Counter Clerk
BubbleMessage,0,HELLO,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,HELLO_FAV4,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,HELLO_FAV3,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,HELLO_FAV2,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,HELLO_FAV1,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,HELLO_FAV0,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,Q0,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,GOODBYE,また、いつでもどうぞ
BubbleMessage,0,GOODBYE_FAV4,また、いつでもどうぞ
BubbleMessage,0,GOODBYE_FAV3,また、いつでもどうぞ
BubbleMessage,0,GOODBYE_FAV2,また、いつでもどうぞ
BubbleMessage,0,GOODBYE_FAV1,また、いつでもどうぞ
BubbleMessage,0,GOODBYE_FAV0,また、いつでもどうぞ
BubbleMessage,1,HELLO,We manage class-related business here.
BubbleMessage,1,HELLO_FAV4,We manage class-related business here.
BubbleMessage,1,HELLO_FAV3,We manage class-related business here.
BubbleMessage,1,HELLO_FAV2,We manage class-related business here.
BubbleMessage,1,HELLO_FAV1,We manage class-related business here.
BubbleMessage,1,HELLO_FAV0,We manage class-related business here.
BubbleMessage,1,Q0,We manage class-related business here.
BubbleMessage,1,GOODBYE,Feel free to stop by anytime.
BubbleMessage,1,GOODBYE_FAV4,Feel free to stop by anytime.
BubbleMessage,1,GOODBYE_FAV3,Feel free to stop by anytime.
BubbleMessage,1,GOODBYE_FAV2,Feel free to stop by anytime.
BubbleMessage,1,GOODBYE_FAV1,Feel free to stop by anytime.
BubbleMessage,1,GOODBYE_FAV0,Feel free to stop by anytime.
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Option 1
Choices,1,00_02,Option 2
Choices,1,TALK_ST,Talk
Choices,1,C_ORDER_ST,Listen
