section,group,id,text
Name,0,NAME,アンネリーゼ
Name,0,NICKNAME,クエストカウンター係員
Name,1,NAME,Anneliese
Name,1,NICKNAME,Empleado del mostrador de misiones
BubbleMessage,0,HELLO,さっさと選びなさいよ！
BubbleMessage,0,HELLO_FAV0,さっさと選びなさいよ！
BubbleMessage,0,HELLO_FAV1,さっさと選びなさいよ！
BubbleMessage,0,HELLO_FAV2,さっさと選びなさいよ！
BubbleMessage,0,HELLO_FAV3,さっさと選びなさいよ！
BubbleMessage,0,HELLO_FAV4,さっさと選びなさいよ！
BubbleMessage,0,Q0,さっさと選びなさいよ！
BubbleMessage,0,TALK_BYE_QUEST,が、頑張ってきなさいよね！
BubbleMessage,0,GOODBYE,何よ、帰っちゃうの？
BubbleMessage,0,GOODBYE_FAV0,何よ、帰っちゃうの？
BubbleMessage,0,GOODBYE_FAV1,何よ、帰っちゃうの？
BubbleMessage,0,GOODBYE_FAV2,何よ、帰っちゃうの？
BubbleMessage,0,GOODBYE_FAV3,何よ、帰っちゃうの？
BubbleMessage,0,GOODBYE_FAV4,何よ、帰っちゃうの？
BubbleMessage,1,HELLO,¡Elige algo ya!
BubbleMessage,1,HELLO_FAV0,¡Elige algo ya!
BubbleMessage,1,HELLO_FAV1,¡Elige algo ya!
BubbleMessage,1,HELLO_FAV2,¡Elige algo ya!
BubbleMessage,1,HELLO_FAV3,¡Elige algo ya!
BubbleMessage,1,HELLO_FAV4,¡Elige algo ya!
BubbleMessage,1,Q0,¡Elige algo ya!
BubbleMessage,1,TALK_BYE_QUEST,"Dalo todo, ¿vale?"
BubbleMessage,1,GOODBYE,¿En realidad? ¿Ya te vas?
BubbleMessage,1,GOODBYE_FAV0,¿En realidad? ¿Ya te vas?
BubbleMessage,1,GOODBYE_FAV1,¿En realidad? ¿Ya te vas?
BubbleMessage,1,GOODBYE_FAV2,¿En realidad? ¿Ya te vas?
BubbleMessage,1,GOODBYE_FAV3,¿En realidad? ¿Ya te vas?
BubbleMessage,1,GOODBYE_FAV4,¿En realidad? ¿Ya te vas?
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Opcion 1
Choices,1,00_02,Opcion 2
Choices,1,TALK_ST,hablar
Choices,1,C_ORDER_ST,Escuchar
