section,group,id,text
BubbleMessage,0,GREET_RANGE,こんにちはっ！
BubbleMessage,0,GREET_SHOP_OPEN,いらっしゃいませっ！
BubbleMessage,0,GREET_SHOP_DISABLE,ごめんなさいっ！<br>今日はね、貸し切りなんだ！
BubbleMessage,0,GREET_SHOP_CLOSE,ありがとねっ！
BubbleMessage,1,GREET_RANGE,"¡Oye, oye!"
BubbleMessage,1,GREET_SHOP_OPEN,¡Bienvenido a nuestra tienda!
BubbleMessage,1,GREET_SHOP_DISABLE,"Lo siento mucho, ¡pero hoy estamos cerrados por<br>un evento privado!"
BubbleMessage,1,GREET_SHOP_CLOSE,¡Gracias!
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Opción 1
Choices,1,00_02,Opción 2
Choices,1,TALK_ST,hablar
Choices,1,C_ORDER_ST,Escuchar
