section,group,id,text
Event1,0,text01,おかえり、相棒！　どうだった？<br>ヒントは見つかったかな？
Event1,0,11_voice_NPC_5544_104,なるほど……ラヴィ・エンペラッピーは<br>たしかに、女の子が喜びそうだね。<br>あとは、それをどう料理するか……
Event1,0,11_voice_NPC_5544_106,……へ？　から揚げにしたらいいって？<br>料理ってそういう意味じゃなくてさ……
Event1,0,text04,あ、クッキーとかどうかな？<br>ラヴィ・エンペラッピーのイラストを<br>可愛く描いてみたやつ、とかさ。
Event1,0,11_voice_NPC_5544_107,いいと思う、って？　ありがとう。<br>じゃ、これであいつに提案するよ！<br>……あ、そうだ。別件なんだけど。
Event1,0,text06,さっきユク姉から、通信が来たんだ。<br>「アウロラが勝手なことして<br>　迷惑をかけた。悪い」って。
Event1,0,11_voice_NPC_5544_100,それから「あたしは弟を頼りないなんて<br>一度も思ったことがないわ」とも。<br>アウロラの勘違いだったみたいだね。
Event1,0,text08,本人に直接伝えればいいのに、って<br>思ったけど、照れくさいんだろうね。<br>ま、真相が分かってよかった
Event1,1,text01,"Hey there, mate! How'd it go?<br>Any bright ideas?"
Event1,1,11_voice_NPC_5544_104,椀攀猀 眀漀甀氀搀㰀戀爀㸀氀椀欀攀Ⰰ 礀攀愀栀⸀ 一漀眀 眀攀 樀甀猀琀 最漀琀琀愀 昀椀最甀爀攀 漀甀琀 栀漀眀㰀戀爀㸀琀漀 挀漀漀欀 椀琀 甀瀀⸀
Event1,1,11_voice_NPC_5544_106,Huh? You want me to fry it? I'm not sure my<br>kitchen skills are up to par...
Event1,1,text04,"Wait though, what about cookies?<br>We make cookies, but we draw a<br>Lovey Emperappy on 'em."
Event1,1,11_voice_NPC_5544_107,"Sounds good, right? Awesome.<br>Let's go with that, then!<br>Oh, but wait, before that..."
Event1,1,text06,Eucie just commed in. Something about<br>Aurora going too far and causing trouble<br>for everyone.
Event1,1,11_voice_NPC_5544_100,s unreliable<br>or anything like that.<br>Said Aurora had it all wrong.
Event1,1,text08,䤀 最甀攀猀猀 琀栀愀琀 洀椀最栀琀 戀攀㰀戀爀㸀琀漀甀最栀Ⰰ 攀栀㼀 䄀琀 氀攀愀猀琀 眀攀 昀椀渀愀氀氀礀 欀渀漀眀 琀栀攀 琀爀甀琀栀⸀
