section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,ナレーション
CharaName,1,name01,???
CharaName,1,name02,Narration
CharaName,0,pr_055010_0010,反応、確認しました。<br>間違いなく【敗者】のものです。
CharaName,0,pr_055010_0020,あれも、【巨躯】と同じく<br>残滓が形になったもの<br>なんでしょうか……
CharaName,0,pr_055010_0030,当たらずも遠からず。<br>残滓によってアカシックレコードの<br>記録が偏向され、具現したのだろう。
CharaName,0,pr_055010_0040,その能力も、そっくりそのまま。<br>手強さはこの僕が保証しよう。
CharaName,0,pr_055010_0050,もっとも、その程度ならば<br>君は倒してしまうんだろうけどね。
CharaName,0,pr_055010_0060,<%me>さん。<br>来ます！
CharaName,1,pr_055010_0010,I've confirmed the signal. It's definitely Luther the Fallen.
CharaName,1,pr_055010_0020,Did the traces it left behind in this world take shape like they<br>did with [Elder]?
CharaName,1,pr_055010_0030,"Yes and no. The presence of those traces influenced the<br>Akashic Records' memories, causing this to materialize."
CharaName,1,pr_055010_0040,Its abilities are just as you remember as well. I can attest to<br>its strength.
CharaName,1,pr_055010_0050,"Though as I recall, you had no trouble defeating this before."
CharaName,1,pr_055010_0060,Here it comes!
