section,group,id,text
MainText,0,name010,トラスポ
MainText,0,name020,ラン
MainText,0,text010,たーすかったぜぇぇぇ！<br>ありがとう！　ありがとーう！
MainText,0,text020,はぁ……今回ばっかりは、<br>もうダメかと思ったぜ……。
MainText,0,text030,トラックは……まあ、なんとかするわ……。
MainText,0,text040,任務完了です。帰還してください！<br>トラスポさん、無事でよかった
MainText,1,name010,traspo
MainText,1,name020,Corrió
MainText,1,text010,"¡Dudar! ¡Me salvaste totalmente!<br>¡Muchas, muchas gracias!"
MainText,1,text020,Uf... Pensé que estaba perdido esta vez.
MainText,1,text030,En cuanto al camión... ya se me ocurrirá algo.
MainText,1,text040,"¡Misión cumplida! Por favor regresa a la base.<br>Me alegro que estés bien, Traspo."
