section,group,id,text
Required,0,Title,樹林の捜索者
Required,0,Summary,樹林の捜索者
Required,1,Title,Buscando por el bosque
Required,1,Summary,Buscando por el bosque
SubObjectives,0,text0001,タイヴァスを探す
SubObjectives,0,text0002,エネミーを倒す
SubObjectives,0,text0003,タイヴァスを探す
SubObjectives,0,text0004,エネミーを倒す
SubObjectives,0,text0005,タイヴァスらしき人物を追う
SubObjectives,0,text0006,エネミーを倒す
SubObjectives,0,text0007,タイヴァスらしき人物を追う
SubObjectives,0,text0008,エネミーを倒す
SubObjectives,0,text0009,タイヴァスらしき人物を追う
SubObjectives,0,text0010,エネミーを倒す
SubObjectives,1,text0001,Busca Taivas.
SubObjectives,1,text0002,Derrota a los enemigos.
SubObjectives,1,text0003,Busca Taivas.
SubObjectives,1,text0004,Derrota a los enemigos.
SubObjectives,1,text0005,Sigue a la persona que se parece a Taivas.
SubObjectives,1,text0006,Derrota a los enemigos.
SubObjectives,1,text0007,Sigue a la persona que se parece a Taivas.
SubObjectives,1,text0008,Derrota a los enemigos.
SubObjectives,1,text0009,Sigue a la persona que se parece a Taivas.
SubObjectives,1,text0010,Derrota a los enemigos.
