section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,???
CharaName,1,name02,???
CharaName,0,ra_034030_0001,A.P.239/2/25
CharaName,0,ra_034030_0010,……<%me>。<br>きみの言いたいことはわかってるよ。
CharaName,0,ra_034030_0020,もう一度、十年前に行ってみて<br>何があったのか見てくればいいって<br>そう思ってるんだろう？
CharaName,0,ra_034030_0030,ぼくもそれを考えたんだけど……<br>ちょっと無理っぽいんだよね。
CharaName,0,ra_034030_0040,二代目が消えた後のあの時代は<br>介入が拒絶されている。<br>おそらくは、シオンの仕業だ。
CharaName,0,ra_034030_0050,忘れさせたけど、変えさせないって<br>ほんと、わがままな話さ。<br>やることが極端だよ、まったく。
CharaName,0,ra_034030_0060,とはいえ、記憶を残してる人も<br>いるみたいだし、話を聞いていけば<br>何かつかめるかもしれないね。
CharaName,0,al_020050_0010,二代目ちゃんの存在を隠し通そうとした<br>理由は、こういうことだったんだね。
CharaName,0,al_020050_0020,新たなる【深遠なる闇】になりかけた。<br>シオン自身の、作り出したものが。<br>……二代目ちゃんが。
CharaName,0,al_020050_0030,自身が与えた知識によって<br>命すら弄ぶようになったフォトナー。<br>それが残した負の遺産、【深遠なる闇】。
CharaName,0,al_020050_0040,その不始末を打ち消すために<br>シオンが生みだした二代目ちゃん……<br>それも【深遠なる闇】になりかけた。
CharaName,0,al_020050_0050,なら、二代目ちゃんを作る前から<br>やり直せば良い……けど、シオンは<br>それが出来なかった。
CharaName,0,al_020050_0060,それこそ、二代目ちゃんを……<br>命を弄ぶってことだから。
CharaName,0,al_020050_0070,……シオンの謝罪や後悔はさ<br>フォトナーに知識を与えたことに<br>対してのものだと思ってた。
CharaName,0,al_020050_0080,でも、違うんだね。<br>あれは二代目ちゃんへ謝ってたんだ。<br>自身の行いを、悔いて。
CharaName,0,al_020050_0090,二代目ちゃんは、いわばシオンの<br>娘のような存在だもんね。<br>……辛かったと思うよ。
CharaName,0,al_020050_0100,だから、何としてでも<br>二代目ちゃんを救いたくて<br>……あなたを、頼った。
CharaName,0,al_020050_0110,過去に戻って、色々わかったよ。<br>いや、正しくはまだわからないことも<br>多かったりするけどさ。
CharaName,0,al_020050_0120,もう過去に戻ってみることは出来ない。<br>だからここからは、記憶の断片を<br>集めて重ねて、真実を探そうかな。
CharaName,1,ra_034030_0001,A.P.239/2/25
CharaName,1,ra_034030_0010,"Escucha, se lo que debes estar pensando."
CharaName,1,ra_034030_0020,"You want to go back to ten years ago and<br>see what happened, right?"
CharaName,1,ra_034030_0030,"I had the same idea, but it looks like that<br>might be out of the question."
CharaName,1,ra_034030_0040,"We're being completely blocked from<br>intervening in the timeframe after the<br>Second disappeared. Xion's doing, I'm sure."
CharaName,1,ra_034030_0050,"Pretty unreasonable,<br>but she did always tend towards the extreme."
CharaName,1,ra_034030_0060,椀爀 洀攀洀漀爀椀攀猀⸀ 圀攀 猀栀漀甀氀搀㰀戀爀㸀琀愀氀欀 琀漀 琀栀攀洀 琀漀 琀爀礀 愀渀搀 昀椀最甀爀攀 琀栀椀渀最猀 漀甀琀⸀
CharaName,1,al_020050_0010,So THAT'S why Xion was trying<br>to hide the Second.
CharaName,1,al_020050_0020,"If you created a being that almost turned<br>into the new Profound Darkness, you'd want<br>to keep that under wraps too."
CharaName,1,al_020050_0030,le with life itself. The<br>legacy of which was the Profound Darkness.
CharaName,1,al_020050_0040,琀栀愀琀 挀爀攀愀琀椀漀渀Ⰰ 琀漀漀Ⰰ 愀氀洀漀猀琀㰀戀爀㸀猀甀挀挀甀洀戀攀搀 琀漀 琀栀攀 倀爀漀昀漀甀渀搀 䐀愀爀欀渀攀猀猀⸀
CharaName,1,al_020050_0050,"You'd think Xion would go back before the<br>Second was made, fix everything up,<br>and move on, but... they couldn't."
CharaName,1,al_020050_0060,Because that would mean toying with<br>the Second's very existence. With life itself.
CharaName,1,al_020050_0070,I always figured Xion's guilt and regret<br>came from granting the Photoners<br>knowledge in the first place.
CharaName,1,al_020050_0080,But no. It was all about the Second.<br>Everything Xion did was to try and<br>make it up to her.
CharaName,1,al_020050_0090,She was like a daughter to Xion.<br>It must have been tough...
CharaName,1,al_020050_0100,But that's why Xion wanted to save her<br>so desperately. And why they asked<br>you for help...
CharaName,1,al_020050_0110,"All this time travel has really taught me a lot.<br>There's still plenty I don't get yet, of course."
CharaName,1,al_020050_0120,琀 昀爀愀最洀攀渀琀攀搀㰀戀爀㸀洀攀洀漀爀椀攀猀 眀攀 挀愀渀 愀渀搀 瀀椀攀挀攀 琀漀最攀琀栀攀爀㰀戀爀㸀琀栀攀 琀爀甀琀栀 漀甀爀猀攀氀瘀攀猀⸀
