section,group,id,text
innocent,0,HELLO_FAV4,お待ちしていました
innocent,0,HELLO_FAV3,お疲れ様です
innocent,0,HELLO_FAV2,こんにちは
innocent,0,HELLO_FAV1,用件をどうぞ
innocent,0,HELLO_FAV0,用件を
innocent,0,GOODBYE_FAV4,お気をつけて
innocent,0,GOODBYE_FAV3,それではまた
innocent,0,GOODBYE_FAV2,さようなら
innocent,0,GOODBYE_FAV1,では
innocent,0,GOODBYE_FAV0,あ……
innocent,0,GOTOEXP_FAV4,お任せ下さい、マスター
innocent,0,GOTOEXP_FAV3,では、行って参ります
innocent,0,GOTOEXP_FAV2,はい、了解です
innocent,0,GOTOEXP_FAV1,わかりました
innocent,0,GOTOEXP_FAV0,出撃します
innocent,0,HELLO_REPORT_FAV4,マスター、お時間よろしければ<br>報告を聞いていただけませんか？
innocent,0,HELLO_REPORT_FAV3,報告をしても<br>よろしいでしょうか？
innocent,0,HELLO_REPORT_FAV2,戻りました。<br>報告があります
innocent,0,HELLO_REPORT_FAV1,報告案件があります
innocent,0,HELLO_REPORT_FAV0,帰還しました
innocent,0,HELLO_OTHER,いらっしゃいませ
innocent,0,GOODBYE_OTHER,さようなら
innocent,1,HELLO_FAV4,I've been expecting you.
innocent,1,HELLO_FAV3,Fine work.
innocent,1,HELLO_FAV2,Hello.
innocent,1,HELLO_FAV1,What can I do for you?
innocent,1,HELLO_FAV0,What do you need?
innocent,1,GOODBYE_FAV4,Take care.
innocent,1,GOODBYE_FAV3,See you.
innocent,1,GOODBYE_FAV2,Goodbye.
innocent,1,GOODBYE_FAV1,"Bye, then."
innocent,1,GOODBYE_FAV0,Oh...
innocent,1,GOTOEXP_FAV4,"I will handle it, Handler."
innocent,1,GOTOEXP_FAV3,"Well then, I'll be off."
innocent,1,GOTOEXP_FAV2,"All right, understood."
innocent,1,GOTOEXP_FAV1,I'll make a note of it.
innocent,1,GOTOEXP_FAV0,I'll be off now.
innocent,1,HELLO_REPORT_FAV4,"Handler, if you have a moment, may<br>I give you my report?"
innocent,1,HELLO_REPORT_FAV3,May I give you my report?
innocent,1,HELLO_REPORT_FAV2,I'm back. I have a report.
innocent,1,HELLO_REPORT_FAV1,I have a report.
innocent,1,HELLO_REPORT_FAV0,I'm back.
innocent,1,HELLO_OTHER,Welcome.
innocent,1,GOODBYE_OTHER,Goodbye.
fresh,0,HELLO_FAV4,待ってたよ！
fresh,0,HELLO_FAV3,調子はどうだい？
fresh,0,HELLO_FAV2,やあ
fresh,0,HELLO_FAV1,やあ
fresh,0,HELLO_FAV0,やあ
fresh,0,GOODBYE_FAV4,名残惜しいね
fresh,0,GOODBYE_FAV3,元気でね
fresh,0,GOODBYE_FAV2,またね
fresh,0,GOODBYE_FAV1,またね
fresh,0,GOODBYE_FAV0,またね
fresh,0,GOTOEXP_FAV4,君のために頑張るよ
fresh,0,GOTOEXP_FAV3,まあ、任せておいてよ
fresh,0,GOTOEXP_FAV2,じゃ、頑張ってくるよ
fresh,0,GOTOEXP_FAV1,じゃ、頑張ってくるよ
fresh,0,GOTOEXP_FAV0,じゃ、頑張ってくるよ
fresh,0,HELLO_REPORT_FAV4,待ってたよ。<br>報告、聞いて欲しいんだ
fresh,0,HELLO_REPORT_FAV3,調子はどうだい？<br>こっちは一段落さ
fresh,0,HELLO_REPORT_FAV2,報告があるんだけど
fresh,0,HELLO_REPORT_FAV1,報告があるんだけど
fresh,0,HELLO_REPORT_FAV0,報告があるんだけど
fresh,0,HELLO_OTHER,いらっしゃい
fresh,0,GOODBYE_OTHER,またどうぞ
fresh,1,HELLO_FAV4,I've been waiting!
fresh,1,HELLO_FAV3,How ya doin'?
fresh,1,HELLO_FAV2,Hey there.
fresh,1,HELLO_FAV1,Hey there.
fresh,1,HELLO_FAV0,Hey there.
fresh,1,GOODBYE_FAV4,I'll miss you!
fresh,1,GOODBYE_FAV3,Take care out there.
fresh,1,GOODBYE_FAV2,See ya later.
fresh,1,GOODBYE_FAV1,See ya later.
fresh,1,GOODBYE_FAV0,See ya later.
fresh,1,GOTOEXP_FAV4,I'll do my best for you.
fresh,1,GOTOEXP_FAV3,Just leave it to me.
fresh,1,GOTOEXP_FAV2,"Alright, I'll do my best."
