section,group,id,text
Required,0,Title,トレイニアの覇者・エアリオ編
Required,0,Summary,オペレーターのリューリンから、<br>エアリオにあるすべての<br>トレイニアの踏破を頼まれる。
Required,1,Title,Trainia Dominator (Aelio)
Required,1,Summary,El operador Liu Lin le pide a la tripulación que explore<br>todos los sitios de Trainia en Aelio.
SubObjectives,0,text0101,エアリオの全コクーンを踏破する
SubObjectives,0,text0102,エアリオの全タワーを踏破する
SubObjectives,0,text0103,エアリオの全タワーを踏破する
SubObjectives,0,text0104,エアリオの全タワーを踏破する
SubObjectives,1,text0101,Explora todas las instalaciones de Aelio Cocoon
SubObjectives,1,text0102,Explora todas las torres de Aelio
SubObjectives,1,text0103,Explora todas las torres de Aelio
SubObjectives,1,text0104,Explora todas las torres de Aelio
