section,group,id,text
,0,name_7422,ダーナ
,0,ssn_014441_0010,いいね、そうこなくっちゃ。
,0,ssn_014441_0020,それじゃ、リテム・エルノザにいるエネミーを倒してくれない？<br>もう知ってるかもしれないけど、強力な奴らばかりさ。
,0,ssn_014441_0030,あいつらを一掃できたら、<br>キミの力を認めてやるよ！
,0,ssn_014441_0040,え？　別に認められなくてもいい？
,0,ssn_014441_0050,まあ、そう言わずに。やってみてよ。<br>それじゃ、よろ
,1,name_7422,Dana
,1,ssn_014441_0010,¡Ese es el espíritu!
,1,ssn_014441_0020,"Bien, quiero que vayas a derrotar a algunos enemigos en Retem Alnothe. Estoy seguro de que ya<br>lo sabes, pero los enemigos no son una broma."
,1,ssn_014441_0030,"¡Si puedes eliminarlos, admitiré felizmente que estás a la altura de tu reputación!"
,1,ssn_014441_0040,¿Eh? ¿No te importa lo que pienso de ti?
,1,ssn_014441_0050,"Ay, no seas así. Sólo ve y pruébalo."
