section,group,id,text
,0,name_7303,ノアン
,0,ssn_019435_001_0010,こ、こんにちは！<br>ハルファ環境研究員、ノアンなのです！
,0,ssn_019435_001_0020,突然、すみません。<br>少し相談があるのです！
,0,ssn_019435_001_0030,開発中のある特殊装備が、<br>なぜかネコさんに持ち去られてしまったそうでして……。
,0,ssn_019435_001_0040,く、詳しくは、直接お話しします！<br>セントラルシティの西門付近で、お待ちしているので
,1,name_7303,noán
,1,ssn_019435_001_0010,"¡¡Hola!!<br>¡Soy Noan, un investigador ambiental de Halfha!"
,1,ssn_019435_001_0020,"Lamento molestarte, pero esperaba que pudiéramos hablar."
,1,ssn_019435_001_0030,"De alguna manera, un gato se escapó con algún equipo<br>especial en el que estábamos trabajando."
,1,ssn_019435_001_0040,¡Puedo contarte más en persona! ¡Estaré esperando en la puerta oeste de Central City!
