section,group,id,text
,0,name_7425,ロナルディン
,0,ssq_014604_0010,思ったよりもやるな……。
,0,ssq_014604_0020,では、次のメニューに取り組んでもらおう。<br>このまま完走できると思うな。心してかかれ……。
,0,ssq_014604_0101,ふむ、悪くないな……
,0,ssq_014604_0102,では、次のメニューに取り組んでもらおう。<br>このまま完走できると思うな。心してかかれ……。
,1,name_7425,ronaldina
,1,ssq_014604_0010,Incluso mejor de lo que pensaba...
,1,ssq_014604_0020,"Muy bien, intentemos con el siguiente. <br>Pero prepárate, esta vez tendrás que luchar más duro."
,1,ssq_014604_0101,"Mmmm, no está mal..."
,1,ssq_014604_0102,"Muy bien, intentemos con el siguiente. <br>Pero prepárate, esta vez tendrás que luchar más duro."
