section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,¿??
CharaName,1,name02,¿??
CharaName,0,st_010030_0010,すげーなー、あっち向いても<br>こっち向いても緑だらけ。<br>へへ、なんだかワクワクしてきたぜ。
CharaName,0,st_010030_0020,とと、焦りすぎても駄目だよな。うん。
CharaName,0,st_010030_0030,あ、そうそう。おれたち戦闘は<br>初めてだし、基本的な動きとか<br>練習させてもらえるみたいだぜ？
CharaName,0,st_010030_0040,A.P.238/2/20/10:30
CharaName,0,st_010030_0050,Forest
CharaName,0,st_010030_0060,惑星ナベリウス　森林
CharaName,0,LineWindow,3年前
CharaName,1,st_010030_0010,ttom in nothin' but green. Really gets<br>the old blood pumpin'.
CharaName,1,st_010030_0020,"Now, hold on... let's not get too eager<br>too quickly!"
CharaName,1,st_010030_0030,"Ah, that's right. This's our first taste of actual<br>combat in the field. Guess we oughtta practice<br>the basics first, then?"
CharaName,1,st_010030_0040,A.P.238/2/20/10:30
CharaName,1,st_010030_0050,bosques
CharaName,1,st_010030_0060,Naverius - Bosque
CharaName,1,LineWindow,Hace tres aйos
Skit,0,skit01,Prologue: The day I was waiting for
Skit,0,skit02,ずっとこの日を待っていた
Skit,1,skit01,Prologo: El dia que estaba esperando
Skit,1,skit02,He estado esperando este dia desde siempre
