section,group,id,text
,0,st_048060_0001,A.P.241/4/24/13:20
,0,st_048060_0010,あらアルくん。それに、コオリさん？<br>これはこれは、珍しい組み合わせですね。
,0,st_048060_0020,お姉ちゃんは、お兄ちゃんと話してるから<br>散歩してたらいきなりコオリが……
,0,st_048060_0030,空気が読めるのが、わたしのいいところー。<br>兄妹水入らずのお話を邪魔してはいけませんので<br>余りもの同士でふらふらしてたわけです。
,0,st_048060_0040,<%me>さんも出ていますし<br>そういう意味では、私も余りものですね。
,0,st_048060_0050,では、余りもの同士で仲良くしましょうか。
,0,st_048060_0060,あ、ちょうどいい機会なので<br>聞いておきたかったんですけど……
,0,st_048060_0070,シエラさんは……ううん、アークスのみなさんは<br>今回の件について、どういうスタンスなんですか？
,0,st_048060_0080,……どういうこと？
,0,st_048060_0090,えっとね、アルくんとマザーについては<br>もともと二人とも、アークスの世界の人だし<br>アークスのみなさんも関係あることだったでしょ。
,0,st_048060_0100,……ですが、アーデムさんの件に関しては<br>アークスは関係ない、と言っても過言ではありません。<br>惑星固有の問題、とも言えます。
,0,st_048060_0110,それに対して、アークスは介入するのかどうか、と<br>コオリさんは聞きたいんですよね。
,0,st_048060_0120,はい。
,0,st_048060_0130,コオリさんの仰る通り、各惑星固有の問題にまで<br>手を出していたら、アークスがどれだけいても<br>足りません。そこまで面倒見る理由もありません。
,0,st_048060_0140,……で・す・が、今回の一件については<br>マザーの台頭に端を発するものであり<br>アルくんを救出した末の事例でもあります。
,0,st_048060_0150,心配は無用ですよ、コオリさん。<br>アークスは貴方たちに協力し、支えますからね。
,0,st_048060_0160,すでに各所にもネゴってあります。<br>ウルク総司令のお墨付きです！
,0,st_048060_0170,……コオリは<%me>たちが<br>協力してくれないかもって心配してたの？
,0,st_048060_0180,ええっと……まあ、そういうことかな。
,0,st_048060_0190,そんなの、聞くまでもないことだよ？<br><%me>やシエラは仲間。<br>仲間は、困ったら助け合うものでしょ？
,0,st_048060_0200,お姉ちゃんやお兄ちゃん、それにコオリが<br>困ってたら、助けてくれるよ。<br><%me>や、みんなが。
,0,st_048060_0210,……ふふっ、アルくんの素直な意見が<br>わかりやすくて、一番正しいですね。
,0,st_048060_0220,そういうことです、コオリさん。<br>ヒツギさんも、エンガさんも、もちろん<br>コオリさんも、私たちの仲間です。
,0,st_048060_0230,アークスは、仲間を見捨てたりはしません。<br>安心して、私たちを頼ってくださいね。
,0,st_048060_0240,……はいっ！
,0,st_048060_0250,それにそれに、個人的に私は地球の技術に<br>興味が沸いているので、色々聞きたいんですよ。
,0,st_048060_0260,例えば、ＰＳＯ２がそうです。<br>あれのような、別世界へ転移する技術とか<br>たぶんこっちでも再現可能だと思いますしー。
,0,st_048060_0270,ＰＳＯ２？<br>だったらこのデバイスにも<br>インストールされてますけど……
,0,st_048060_0280,なんですと！<br>そ、その端末、すこーしの間だけ<br>貸してもらえませんか、コオリさん！
,0,st_048060_0290,ほほうほうほう、なーるほど……<br>座標わかってるからこれをああしてー……<br>あー、やっぱりそうやってるのかー……
,0,st_048060_0300,……いやー、やっぱり現物見られると<br>理屈が一気につかめるからいいですねー。
,0,st_048060_0310,それじゃあこの見返りが<br>アークスの協力、ということで？
,0,st_048060_0320,軽っ！<br>アークスの指揮権限軽すぎっ！
,0,st_048060_0330,ふふっ、冗談です。
,0,st_048060_0340,でもですね、コオリさんたちが<br>アークスの協力を仰ぐのは<br>その程度の軽さでいい、ってことですよ。
,0,st_048060_0350,なんといっても、私たちは仲間ですから。<br>ねー、アルくん。
,0,st_048060_0360,うん！
,0,st_048060_0370,わわわわっ！　なんですなんです！？
,0,st_048060_0380,……ラスベガス近郊で<br>エーテルの異常値を計測！？
,0,st_048060_0390,ううん、ラスベガスだけじゃない……！<br>地球全体のエーテル量が、変化してる！<br>まるで、地球全体を覆い尽くすように……
,0,st_048060_0400,アルくん！？
,0,st_048060_0410,……すごく、気持ち悪い。<br>無理矢理、何をしようとしてるの……？
,0,st_048060_0420,早く、早くみんなを呼んで！<br>あれを止めないと……！
,1,st_048060_0001,AP 241/4/24 13:20
,1,st_048060_0010,"Oh, hello, Al--and Kohri, too? Well, don't you two make an odd<br>pair."
,1,st_048060_0020,"Enga and Hitsugi were chatting, so I was taking a walk when<br>Kohri suddenly..."
,1,st_048060_0030,"I'm good at reading a room. Didn't want to interrupt a private<br>chat, so we third wheels just cooled our heels!"
,1,st_048060_0040,"Our friend isn't here either, so in that sense, I'm a third<br>wheel, too."
,1,st_048060_0050,Asi que hagamos un poco de tercera rueda juntos.
,1,st_048060_0060,"Aw, but it was a perfect opportunity to<br>listen in..."
,1,st_048060_0070,"Xiera, what are your... or rather, what are<br>ARKS's thoughts on this whole situation?"
,1,st_048060_0080,¿Disculpe?
,1,st_048060_0090,"Well, Al and Mother are originally from our world, so their<br>business is ARKS business."
,1,st_048060_0100,"However, one could argue that the Adam situation<br>ISN'T an ARKS problem, but instead an<br>Earth-specific one."
,1,st_048060_0110,"And because of that, you're worried about whether ARKS will<br>help out..."
,1,st_048060_0120,Si.
,1,st_048060_0130,洀愀渀瀀漀眀攀爀 琀漀 琀愀欀攀 挀愀爀攀 漀昀 攀瘀攀爀礀 猀椀渀最氀攀 瀀氀愀渀攀琀⸀㰀戀爀㸀䰀攀琀 愀氀漀渀攀 爀攀愀猀漀渀 琀漀℀
,1,st_048060_0140,"Even so... This entire incident began because of Mother's<br>rise, and as a result of Al's rescue."
,1,st_048060_0150,"Asi que no te preocupes, Kohri. ARKS esta oficialmente aqui para ayudar."
,1,st_048060_0160,We've already negotiate all over the place and got<br>Admiral Ulku's approval!
,1,st_048060_0170,"Were you worried they wouldn't help us out,<br>Kohri?"
,1,st_048060_0180,"Umm... Si, algo asi."
,1,st_048060_0190,"It went without saying. They're our comrades,<br>and comrades come running in times of trouble."
,1,st_048060_0200,"And if you, Hitsugi, or Enga are ever<br>in trouble, that's what they'll do.<br>Every last one of them."
,1,st_048060_0210,"Jeje, bien dicho, Al. Sucinto y muy correcto."
,1,st_048060_0220,"Al's right, Kohri. You, Hitsugi, and Enga are<br>our comrades, now and forever."
,1,st_048060_0230,"And ARKS does not abandon its comrades.<br>Rest easy, because you can rely on us."
,1,st_048060_0240,...¡Gracias!
