section,group,id,text
common,0,CampshipEnter,キャンプシップ入口
common,0,NotAccessQuest,クエスト受注前なのでアクセスできません。
common,0,WarehouseTitle,倉庫端末
common,0,PartnerObject_ErrorTitle,パートナー呼び出し端末
common,0,PartnerObject_Error1,現在、パートナー呼び出し端末を<br>使用することはできません。
common,0,PartnerObject_Error2,このクエストでは、パートナーを呼び出すことはできません。
common,0,PartnerObject_Error3,マッチング設定により、<br>パートナーの呼び出しが制限されています。
common,0,GuildWarehouseTitle,チーム倉庫端末
common,1,CampshipEnter,Gateway Ship Entrance
common,1,NotAccessQuest,You must have a quest to access this.
common,1,WarehouseTitle,Storehouse Terminal
common,1,PartnerObject_ErrorTitle,Partner Terminal
common,1,PartnerObject_Error1,The Partner Terminal is currently unavailable.
common,1,PartnerObject_Error2,You cannot call on a partner for this quest.
common,1,PartnerObject_Error3,The partners you can call are currently limited<br>due to matching settings.
common,1,GuildWarehouseTitle,Alliance Storehouse Terminal
Campship,0,TerminalTitle,情報端末
Campship,0,ShopTitle,ショップ端末
Campship,0,MedicalTitle,メディカル端末
Campship,0,QuestTitle,クエストカウンター端末
Campship,0,ApcTitle,ＡＰＣ端末
Campship,0,AccessFaild,一度決定した後は<br>アクセスできません。
Campship,0,NonReader,この端末は<br>現在パーティーリーダーしか<br>アクセスできません。
Campship,0,NotClear,この端末は<br>クエストクリアもしくは<br>クエスト失敗をしない限り<br>アクセスできません。
Campship,0,NotClearTelepipe,この端末は<br>クエストクリアもしくは<br>クエスト失敗をしない限り<br>アクセスできません。
Campship,0,TerminalDisable,現在使用することができません。
Campship,0,TerminalDisableAPC,現在使用することができません。
Campship,0,TerminalDisableGuildRoom,㰰戀爀㸀缀⡏ﵓ梀樰訰縰夰Ȱ㰰戀爀㸀㰀戀爀㸀㬀선ﰰरꭐ鉞缰⡏奵謰弰脰欰漰㰰戀爀㸀
Campship,0,TerminalDisableGuildMember,役職がビジターであるため利用できません。<br>使用するためにはコモンメンバー以上の<br>役職である必要があります。<br><br>※チーム倉庫を使用するためには<br>　プレミアムセットの利用もあわせて<br>　必要となります。
Campship,0,TerminalDisableGuildMember2,坑İ㰰戀爀㸀崀渰縰縰夰倰欰弰ﵪ銀र륧歒朰䴰縰夰䰰İ㰰戀爀㸀ﰀ斌멑赸㮊扵殗㈰羐縰夰䬰ἰ㳿戀爀㸀㰀戀爀㸀㰀爀攀搀㸀㬀ଠ═湒弰ﵪ솀넰쌰젰鈰吰ర᭞湧㐰ࡘ潔İ㰰戀爀㸀
Campship,0,TerminalDisableCancelTower,パーティーメンバー全員がキャンプシップに戻るまで、<br>使用することができません。
Campship,0,RetryFaild,クエストの受注期間が過ぎているため、<br>もう一度挑戦することができませんでした。
Campship,0,ClearLimit,クエストのクリア回数制限を超えているため<br>もう一度挑戦することができませんでした。
Campship,0,QuestDropPenalty,クエストの受注を制限されているため<br>このクエストは受注できません。
Campship,0,QuestInExtra,このクエストは、<br>キャンペーン対象期間となったため<br>もう一度挑戦することができませんでした。<br>クエストを再度、受注しなおしてください。
Campship,0,QuestOutExtra,このクエストは、<br>キャンペーン対象期間が終了したため<br>もう一度挑戦することができませんでした。<br>クエストを再度、受注しなおしてください。
Campship,0,CantStartProhibitQuestDropTitleCnt,クエストカウンター端末
Campship,0,CantStartProhibitQuestDropTitleTlp,テレポーター
Campship,0,CantStartProhibitQuestDropForStart,現在使用することができません。
Campship,1,TerminalTitle,Data Terminal
Campship,1,ShopTitle,Shopping Terminal
Campship,1,MedicalTitle,Medical Terminal
Campship,1,QuestTitle,Quest Counter Terminal
Campship,1,ApcTitle,APC Terminal
Campship,1,AccessFaild,This cannot be accessed after a selection has<br>been confirmed.
Campship,1,NonReader,"Currently, only the party leader can access this<br>terminal."
Campship,1,NotClear,You cannot access this terminal until you<br>complete or fail your current quest.
Campship,1,NotClearTelepipe,You cannot access this terminal until you<br>complete or fail your current quest.
Campship,1,TerminalDisable,This is currently unavailable.
Campship,1,TerminalDisableAPC,This is currently unavailable.
Campship,1,TerminalDisableGuildRoom,t.
Campship,1,TerminalDisableGuildMember,戀爀㸀琀栀椀猀 琀攀爀洀椀渀愀氀⸀㰀戀爀㸀㰀戀爀㸀一漀琀攀㨀 吀漀 甀猀攀 琀栀攀 䄀氀氀椀愀渀挀攀 匀琀漀爀攀栀漀甀猀攀Ⰰ 㰀戀爀㸀礀漀甀 洀甀猀琀 愀氀猀漀 甀猀攀 愀 倀爀攀洀椀甀洀 匀攀琀⸀
Campship,1,TerminalDisableGuildMember2,s can be purchased <br>from the AC Shop in the main menu.<c>
Campship,1,TerminalDisableCancelTower,You cannot cancel until all party members have<br>returned to the Gateway Ship.
Campship,1,RetryFaild,The period for accepting this quest has expired.<br>You cannot retry this quest.
Campship,1,ClearLimit,You have exceeded the maximum number of times<br>this quest can be completed.
Campship,1,QuestDropPenalty,You cannot accept this quest because you<br>currently have a quest access penalty.
Campship,1,QuestInExtra,You cannot retry this quest during the campaign<br>period. Please accept this quest again.
Campship,1,QuestOutExtra,You cannot retry this quest as the campaign<br>period has ended. Please accept this quest<br>again.
Campship,1,CantStartProhibitQuestDropTitleCnt,Quest Counter Terminal
Campship,1,CantStartProhibitQuestDropTitleTlp,Teleporter
Campship,1,CantStartProhibitQuestDropForStart,This is currently unavailable.
