section,group,id,text
Event1,0,name01,シエラ
Event1,0,text01,[<red>フォイエ<c>]は正面に火の球を撃ちだす<br>炎属性の初歩的なテクニックです。<br>チャージすることで威力が上昇します。
Event1,0,text02,エネミーには<red>弱点属性<c>があるので<br>弱点をよく確認して<br>有効なテクニックを使いましょう！
Event1,0,11_voice_train_04003,これで「テクニックの基礎」の<br>訓練終了です。
Event1,0,11_voice_train_04004,他の訓練もぜひ受けてみてくださいね！
Event1,0,text101,課題！
Event1,1,name01,Xiera
Event1,1,text01,猀 椀渀 昀爀漀渀琀 漀昀 礀漀甀⸀㰀戀爀㸀夀漀甀 挀愀渀 挀栀愀爀最攀 椀琀 甀瀀 琀漀 椀渀挀爀攀愀猀攀 椀琀猀 瀀漀琀攀渀挀礀⸀
Event1,1,text02,"¡Hola, golpéalos<br>donde más te duele con la técnica adecuada!"
Event1,1,11_voice_train_04003,Con esto concluye el curso de formación Técnicas básicas <br>.
Event1,1,11_voice_train_04004,¡Espero que pruebes nuestros otros cursos de formación <br>!
Event1,1,text101,¡Objetivo completado!
