section,group,id,text
common,0,TrialName,ドールズ輸送物資奪取
common,0,TrialBeginMsg,フローティングボードを活用し、ドールズ輸送機から物資を奪取せよ！
common,0,TrialAbstract,フローティングボードでコンテナを破壊する
common,1,TrialName,Atraco al transporte de MUÑECAS
common,1,TrialBeginMsg,¡Usa el tablero flotante y roba recursos del transporte DOLLS!
common,1,TrialAbstract,Destruya contenedores de artículos usando una tabla flotante
common,0,NpcComOnBegin,/voice11_voice_navi003_trial_0001_019 ドールズ輸送機が接近中！<br>フローティングボードで追跡して、荷物を狙うんだ！
common,0,NpcComOnSuccess,/voice11_voice_navi003_trial_0001_064 全コンテナの切り離しを確認！<br>手に入れた物資は好きに使ってくれ。
common,0,NpcComOnFailure,/voice11_voice_navi003_trial_0001_074 輸送機を見失ったようだな。<br>まあ、次がある
common,1,NpcComOnBegin,挀栀椀渀最℀㰀戀爀㸀䌀栀愀猀攀 愀昀琀攀爀 椀琀 漀渀 愀 昀氀漀愀琀椀渀最 戀漀愀爀搀 愀渀搀 氀椀戀攀爀愀琀攀 椀琀猀 爀攀猀漀甀爀挀攀猀℀
common,1,NpcComOnSuccess,/voice11_voice_navi003_trial_0001_064 ¡Se han eliminado todos los contenedores!<br>¡Usa los recursos como quieras!
common,1,NpcComOnFailure,/voice11_voice_navi003_trial_0001_074 Parece que el transporte se escapó.
