section,group,id,text
common,0,TrialName,暴風域エネミー討伐
common,0,TrialBeginMsg,特異天候下でエネミーを撃破せよ！
common,0,TrialAbstract,エネミーを倒す
common,1,TrialName,Supresión de enemigos en la zona de tormenta
common,1,TrialBeginMsg,¡Derrota enemigos en condiciones climáticas anómalas!
common,1,TrialAbstract,Derrota a los enemigos
common,0,NpcComOnForetaste,/voice11_voice_navi001_trial_0001_001 その付近に大型エネミーの反応があります！<br>それと、局所的に大気の状態が不安定なようです。警戒を！
common,0,NpcComOnSuccess,/voice11_voice_navi001_trial_0001_009 エネミーの殲滅を確認しました！<br>協力いただき、ありがとうございます。
common,0,NpcComOnFailure,/voice11_voice_navi001_trial_0001_072 エネミーが撤退しました。<br>……深追いせず、別の目標を探しましょう。
common,0,NpcComOnBegin,竜巻の周囲をただようブラストチャージサインを回収し、<br>戦いを有利に進めてくださ
common,1,NpcComOnForetaste,琀椀漀渀℀ 吀栀攀 氀漀挀愀氀㰀戀爀㸀愀琀洀漀猀瀀栀攀爀椀挀 挀漀渀搀椀琀椀漀渀猀 愀氀猀漀 猀攀攀洀 琀漀 戀攀 搀攀猀琀愀戀椀氀椀稀椀渀最⸀ 䌀愀爀攀昀甀氀℀
common,1,NpcComOnSuccess,/voice11_voice_navi001_trial_0001_009 ¡Confirmada la erradicación del enemigo!<br>Se agradece su apoyo.
common,1,NpcComOnFailure,/voice11_voice_navi001_trial_0001_072 El enemigo se ha retirado.<br>Por favor no continúe. Dirígete a otro objetivo.
common,1,NpcComOnBegin,¡Recoge la Blastisigne esparcida por el tornado para ganar ventaja!
