section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,???
CharaName,1,name02,???
CharaName,0,un_010400_0010,おっ、ご同輩か。<br>最近は、ナベリウスに来る<br>アークスも増えてきているんだな。
CharaName,0,un_010400_0020,この前のダーカー大発生までは<br>道中で誰かに会うなんて<br>ほとんどなかったんだぞ。
CharaName,0,un_010400_0030,ただ、多くのアークスがいるというのは<br>危険ということの証左でもある。<br>本来は、誰も来ない状態がベストだな。
CharaName,0,un_010400_0040,ま、オレたちとしては<br>飯の食い上げで困ってしまうが<br>平和で済むなら、その方がいい。
CharaName,0,un_010400_0050,ん？　オレと同じようなことを<br>言っているやつがいた？<br>それは気の合うことだな。
CharaName,1,un_010400_0010,"Oh, a new colleague, eh?<br>The number of ARKS operatives coming to<br>Naverius has been on the rise lately."
CharaName,1,un_010400_0020,"Before all the Falspawn showed up,<br>you could go for days without bumping<br>into a single soul."
CharaName,1,un_010400_0030,"creasing danger. When things were safe, nobody<br>came here at all."
CharaName,1,un_010400_0040,Even if peace means bad business for people like<br>us--who make our living fighting the bad guys--it<br>beats the alternative.
CharaName,1,un_010400_0050,nice to know there<br>are other operatives out there who get it.
